round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.4011,18.600931000022683,6,0,0,5,7,5,1.0,0.625
1,0.481,18.13923099997919,6,0,0,6,9,6,1.0,0.75
2,0.649,18.18466649999027,6,0,0,5,8,5,1.0,0.75
3,0.7182,18.145698800013633,6,0,0,6,7,6,1.0,0.719
4,0.7568,18.712513400008902,6,6,2,5,6,5,1.0,0.675
5,0.769,13.432163900026353,6,6,2,0,1,0,1.0,0.597
6,0.7762,13.30919410000206,6,6,3,0,4,0,1.0,0.595
7,0.787,12.668322299985448,6,6,3,0,1,0,1.0,0.551
8,0.7916,12.880261500016786,6,6,3,0,1,0,1.0,0.517
9,0.8077,12.940020599984564,6,6,3,0,1,0,1.0,0.49
10,0.8173,13.00535230000969,6,6,3,0,0,0,1.0,0.456
11,0.8153,12.988278000004357,6,6,3,0,1,0,1.0,0.438
12,0.827,13.07795370000531,6,6,3,0,1,0,1.0,0.424
13,0.828,12.942790500004776,6,6,3,0,0,0,1.0,0.402
14,0.8272,12.81313520000549,6,6,3,0,1,0,1.0,0.391
15,0.8321,12.72918860000209,6,6,3,0,1,0,1.0,0.382
16,0.8363,12.602272899996024,6,6,3,0,1,0,1.0,0.374
17,0.8459,12.691211399971507,6,6,3,0,1,0,1.0,0.367
18,0.8437,12.879103699990083,6,6,3,0,0,0,1.0,0.354
19,0.8538,13.118939300009515,6,6,3,0,2,0,1.0,0.354
20,0.842,12.949190500017721,6,6,3,0,1,0,1.0,0.349
21,0.8504,13.120074200007366,6,6,3,0,2,0,1.0,0.35
22,0.8523,12.898111800022889,6,6,3,0,0,0,1.0,0.34
23,0.8587,12.951747499988414,6,6,3,0,0,0,1.0,0.331
24,0.862,12.731647699984023,6,6,3,0,0,0,1.0,0.322
25,0.8624,12.730455000011716,6,6,3,0,1,0,1.0,0.319
26,0.8602,12.51655679999385,6,6,3,0,0,0,1.0,0.312
27,0.8671,12.818212700018194,6,6,3,0,0,0,1.0,0.305
28,0.8634,12.867766099981964,6,6,3,0,0,0,1.0,0.299
29,0.8705,12.98157390000415,6,6,3,0,0,0,1.0,0.293
