round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1107,17.435374699998647,9,0,0,7,0,0,0.0,0.0
1,0.1603,17.255956199995126,9,0,0,8,5,5,0.333,0.214
2,0.1423,17.245885700001963,9,0,0,6,5,5,0.519,0.254
3,0.2047,16.882543300002,9,0,0,7,8,7,0.639,0.369
4,0.2084,17.18916859998717,9,0,0,7,8,7,0.711,0.438
5,0.249,17.303212200000416,9,0,0,7,7,7,0.759,0.46
6,0.2712,17.112019200008945,9,5,1,7,8,7,0.794,0.497
7,0.3051,15.41288319999876,9,5,1,3,5,3,0.81,0.505
8,0.3029,14.010517400005483,9,5,1,3,3,3,0.822,0.48
9,0.3479,14.014677600003779,9,5,1,3,3,3,0.832,0.46
10,0.33,13.857423599998583,9,5,1,3,7,3,0.84,0.495
11,0.3777,13.846396799999638,9,5,1,3,4,3,0.847,0.489
12,0.3957,13.940027100004954,9,5,1,3,4,3,0.852,0.484
13,0.4149,14.054126299990457,9,9,1,2,2,2,0.857,0.459
14,0.4323,12.723562300001504,9,9,1,0,2,0,0.857,0.45
15,0.4525,12.455841799994232,9,9,1,0,2,0,0.857,0.443
16,0.4308,12.727978599999915,9,9,1,0,1,0,0.857,0.427
17,0.4419,12.627186099998653,9,9,1,0,1,0,0.857,0.414
18,0.4713,12.710479399989708,9,9,1,0,0,0,0.857,0.394
19,0.4773,12.66587910000817,9,9,1,0,1,0,0.857,0.384
20,0.4558,12.567989899995155,9,9,1,0,3,0,0.857,0.388
21,0.4825,12.427606500001275,9,9,1,0,1,0,0.857,0.378
22,0.5013,12.807300400003442,9,9,1,0,0,0,0.857,0.364
23,0.5031,12.951958999998169,9,9,1,0,2,0,0.857,0.362
24,0.5017,12.606865399997332,9,9,1,0,4,0,0.857,0.372
25,0.5014,12.546484499995131,9,9,1,0,2,0,0.857,0.37
26,0.5049,12.662149900002987,9,9,1,0,1,0,0.857,0.364
27,0.5239,12.72372200000973,9,9,1,0,0,0,0.857,0.352
28,0.5217,12.71662419999484,9,9,1,0,2,0,0.857,0.351
29,0.5383,12.509485199989285,9,9,1,0,0,0,0.857,0.341
