round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1006,6.3277842000024975,6,0,0,19,5,0,0.0,0.0
1,0.1,5.8594919000024674,6,0,0,21,3,0,0.0,0.0
2,0.1,5.830962700001692,6,0,0,19,10,10,0.056,0.0
3,0.1,5.751004300000204,6,0,0,23,8,6,0.042,0.0
4,0.1,5.906540200001473,6,4,0,22,16,16,0.167,0.0
5,0.1,5.294766700000764,6,4,0,8,5,4,0.194,0.0
6,0.113,5.0635817000002135,6,4,0,8,4,1,0.19,0.0
7,0.1866,5.05135330000121,6,4,0,8,6,3,0.188,0.0
8,0.1487,4.499638599998434,6,4,0,8,5,2,0.185,0.0
9,0.1686,4.0244705000004615,6,4,0,8,7,1,0.183,0.0
10,0.1857,4.020159599996987,6,4,0,7,14,5,0.197,0.004
11,0.2081,4.953835399999662,6,4,0,7,11,7,0.222,0.003
12,0.2588,5.118969600000128,6,4,0,8,18,8,0.244,0.013
13,0.3191,4.932314199999382,6,4,0,8,15,8,0.262,0.012
14,0.3226,5.081974900000205,6,4,0,8,15,8,0.278,0.014
15,0.3665,5.0244055000002845,6,4,0,8,14,8,0.292,0.016
16,0.3745,5.0240852999995695,6,6,0,8,16,8,0.304,0.02
17,0.4087,4.841699700002209,6,6,0,0,11,0,0.304,0.019
18,0.405,4.717391800000769,6,6,0,0,15,0,0.304,0.02
19,0.4323,4.6660181999977794,6,6,0,0,12,0,0.304,0.023
20,0.4391,4.7188074000005145,6,6,0,0,12,0,0.304,0.026
21,0.4539,4.690785300001153,6,6,0,0,7,0,0.304,0.025
22,0.4472,4.673432700001285,6,6,0,0,13,0,0.304,0.025
23,0.4576,4.690740400001232,6,6,0,0,13,0,0.304,0.028
24,0.4679,4.702665500000876,6,6,0,0,8,0,0.304,0.027
25,0.4663,4.689012899998488,6,6,0,0,15,0,0.304,0.03
26,0.4798,4.670842300001823,6,6,0,0,12,0,0.304,0.031
27,0.4755,4.126003200002742,6,6,0,0,14,0,0.304,0.031
28,0.4858,3.7953000999987125,6,6,0,0,18,0,0.304,0.034
29,0.4946,3.8626585000019986,6,6,0,0,13,0,0.304,0.037
30,0.4995,4.531711899999209,6,6,0,0,11,0,0.304,0.038
31,0.5101,4.709087600000203,6,6,0,0,7,0,0.304,0.036
32,0.5148,4.716128599997319,6,6,0,0,8,0,0.304,0.035
33,0.5167,4.6887461000005715,6,6,0,0,14,0,0.304,0.036
34,0.5251,4.822656200001802,6,6,0,0,13,0,0.304,0.036
35,0.5186,4.71527849999984,6,6,0,0,7,0,0.304,0.035
36,0.542,4.6578107999994245,6,6,0,0,17,0,0.304,0.035
37,0.5335,4.674521199998708,6,6,0,0,19,0,0.304,0.036
38,0.5467,4.704694500000187,6,6,0,0,14,0,0.304,0.037
39,0.5453,4.725335799997993,6,6,0,0,15,0,0.304,0.037
40,0.5421,4.591750799998408,6,6,0,0,10,0,0.304,0.038
41,0.5502,4.70450609999898,6,6,0,0,14,0,0.304,0.039
42,0.5553,4.672843300002569,6,6,0,0,7,0,0.304,0.038
43,0.5619,4.601718300000357,6,6,0,0,13,0,0.304,0.037
44,0.5722,4.704833799998596,6,6,0,0,9,0,0.304,0.036
45,0.5626,4.7202847999978985,6,6,0,0,8,0,0.304,0.035
46,0.5765,4.202556700001878,6,6,0,0,11,0,0.304,0.036
47,0.5881,3.7331505000001926,6,6,0,0,12,0,0.304,0.037
48,0.5793,3.795350200001849,6,6,0,0,9,0,0.304,0.037
49,0.5895,4.628649100002804,6,6,0,0,10,0,0.304,0.036
