round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1002,6.174422299998696,6,0,0,19,5,0,0.0,0.0
1,0.1,5.889345799998409,6,0,0,21,3,0,0.0,0.0
2,0.1,5.75792200000069,6,0,0,19,10,10,0.056,0.0
3,0.1,5.726233199999115,6,0,0,23,7,6,0.042,0.0
4,0.1,5.906595500000549,6,0,0,22,15,15,0.167,0.0
5,0.1,5.751771899998857,6,0,0,20,12,12,0.222,0.0
6,0.1297,5.729893600000651,6,0,0,18,13,11,0.262,0.0
7,0.1,5.897357499998179,6,0,0,22,14,13,0.271,0.0
8,0.1637,5.936141400001361,6,0,0,17,19,15,0.333,0.0
9,0.1027,5.722014400002081,6,0,0,22,14,11,0.333,0.0
10,0.1012,5.77039010000226,6,0,0,19,14,14,0.348,0.0
11,0.1588,5.965070099999139,6,0,0,18,10,9,0.347,0.0
12,0.1294,5.866297399999894,6,0,0,20,13,13,0.346,0.0
13,0.1463,5.683130999997957,6,0,0,22,17,14,0.345,0.0
14,0.1526,5.881723599999532,6,0,0,20,18,16,0.367,0.0
15,0.163,5.887052800000674,6,0,0,19,16,12,0.375,0.0
16,0.1431,5.809919999999693,6,0,0,22,16,13,0.373,0.0
17,0.1679,5.615037700001267,6,0,0,22,28,20,0.398,0.009
18,0.2093,6.057630800001789,6,0,0,21,24,19,0.412,0.015
19,0.2676,5.9232627999990655,6,0,0,23,28,23,0.442,0.021
20,0.2868,5.739622199998848,6,0,0,21,29,21,0.468,0.026
21,0.3787,5.700938199999655,6,0,0,18,23,18,0.492,0.025
22,0.377,4.724422800001776,6,0,0,20,27,20,0.514,0.025
23,0.3857,4.717791600000055,6,0,0,18,28,18,0.535,0.033
24,0.4081,5.487200699997629,6,0,0,18,25,18,0.553,0.038
25,0.4193,5.805495799999335,6,0,0,20,31,20,0.571,0.048
26,0.4203,5.825798000001669,6,0,0,20,32,20,0.586,0.059
27,0.4361,5.894837299998471,6,0,0,20,27,20,0.601,0.06
28,0.4403,5.587756400000217,6,0,0,21,29,21,0.615,0.062
29,0.454,5.811265500000445,6,0,0,19,28,19,0.628,0.064
30,0.4581,5.873820200002228,6,0,0,23,26,23,0.64,0.063
31,0.4679,5.867932899996958,6,0,0,20,25,20,0.651,0.065
32,0.4665,5.583008100002189,6,0,0,19,27,19,0.662,0.069
33,0.4838,5.806738899998891,6,0,0,19,23,19,0.672,0.069
34,0.4865,5.9081202000015764,6,0,0,19,28,19,0.681,0.074
35,0.5002,5.8352527000024565,6,0,0,19,25,19,0.69,0.074
36,0.4995,5.535674200000358,6,0,0,18,21,18,0.698,0.073
37,0.5123,5.681443599998602,6,0,0,21,24,21,0.706,0.072
38,0.5008,4.78412759999992,6,0,0,22,28,22,0.714,0.072
39,0.5053,3.901912400000583,6,0,0,19,23,19,0.721,0.072
40,0.5171,4.184401900001831,6,0,0,20,29,20,0.728,0.073
41,0.5303,4.818277400001534,6,0,0,18,25,18,0.734,0.072
42,0.5165,5.811698699999397,6,0,0,21,24,21,0.74,0.073
43,0.5283,5.857515499999863,6,0,0,18,24,18,0.746,0.073
44,0.523,5.650975799999287,6,0,0,20,28,20,0.752,0.075
45,0.5463,5.821982900000876,6,0,0,20,29,20,0.757,0.076
46,0.5485,5.78560859999925,6,0,0,20,26,20,0.762,0.077
47,0.5345,5.88959690000047,6,0,0,23,28,23,0.767,0.081
48,0.5558,5.781521499997325,6,0,0,20,28,20,0.772,0.083
49,0.5559,5.922741099999257,6,0,0,24,29,24,0.777,0.083
