round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.0999,4.913328399999955,6,0,0,19,2,0,0.0,0.0
1,0.1,5.566350199998851,6,0,0,21,0,0,0.0,0.0
2,0.1,5.164564300001075,6,0,0,19,2,2,0.0,0.0
3,0.1,4.170124199999918,6,0,0,23,16,16,0.125,0.0
4,0.1,4.77949499999886,6,0,0,22,1,0,0.1,0.0
5,0.1,5.619434599999295,6,0,0,20,17,17,0.222,0.0
6,0.1,5.45202160000008,6,0,0,18,9,8,0.238,0.0
7,0.1277,5.5905127999994875,6,0,0,22,13,13,0.271,0.0
8,0.1,5.4852488999986235,6,0,0,17,9,8,0.278,0.0
9,0.1,5.544627400000536,6,0,0,22,17,17,0.317,0.0
10,0.1003,5.459713600001123,6,0,0,19,2,2,0.288,0.0
11,0.1567,5.49598800000058,6,0,0,18,15,15,0.333,0.0
12,0.1316,5.594782300000588,6,0,0,20,8,8,0.321,0.0
13,0.1552,5.471896099999867,6,0,0,22,19,19,0.333,0.003
14,0.13,5.488298199999917,6,0,0,20,6,6,0.322,0.003
15,0.1648,5.633030700000745,6,0,0,19,14,12,0.333,0.003
16,0.1647,5.312965600000098,6,0,0,22,6,6,0.314,0.002
17,0.1638,5.654507699999158,6,0,0,22,17,17,0.324,0.002
18,0.1643,5.519370399999389,6,0,0,21,11,10,0.325,0.002
19,0.1666,5.333263200000147,6,0,0,23,16,15,0.325,0.002
20,0.1625,4.202708700000585,6,0,0,21,16,14,0.333,0.004
21,0.1908,4.563095299999986,6,0,0,18,14,13,0.348,0.004
22,0.2192,5.499834199999896,6,0,0,20,17,14,0.362,0.004
23,0.211,5.4992320999990625,6,0,0,18,20,16,0.375,0.005
24,0.2894,5.512193800001114,6,0,0,18,16,15,0.393,0.007
25,0.2983,5.495692299999064,6,0,0,20,24,20,0.417,0.006
26,0.3409,5.4829645000008895,6,0,0,20,21,20,0.438,0.006
27,0.3659,5.591612899999745,6,0,0,20,20,20,0.458,0.006
28,0.3971,5.510539500000959,6,0,0,21,25,21,0.477,0.009
29,0.3947,5.54792549999911,6,0,0,19,21,19,0.494,0.008
30,0.4229,5.515212299998893,6,0,0,23,24,23,0.511,0.009
31,0.4275,5.542711899999631,6,0,0,20,23,20,0.526,0.01
32,0.4366,5.513965799998914,6,0,0,19,23,19,0.54,0.011
33,0.4537,5.5124071999998705,6,0,0,19,19,19,0.554,0.012
34,0.4576,5.522137500000099,6,0,0,19,20,19,0.567,0.012
35,0.4743,5.509585899999365,6,0,0,19,21,19,0.579,0.013
36,0.4753,5.514586499999496,6,0,0,18,19,18,0.59,0.012
37,0.4898,5.452358900000036,6,0,0,21,23,21,0.601,0.012
38,0.482,5.625355899999704,6,0,0,22,25,22,0.611,0.013
39,0.4959,5.465466199999355,6,0,0,19,20,19,0.621,0.013
40,0.5057,5.499974999998813,6,0,0,20,24,20,0.63,0.013
41,0.5,5.421836599998642,6,0,0,18,19,18,0.639,0.013
42,0.5066,4.937884700000723,6,0,0,21,23,21,0.647,0.013
43,0.5108,4.485068899999533,6,0,0,18,20,18,0.655,0.012
44,0.512,4.832592199998544,6,0,0,20,24,20,0.663,0.014
45,0.5273,5.390164899999945,6,0,0,20,27,20,0.67,0.015
46,0.5318,4.269471999999951,6,0,0,20,22,20,0.677,0.018
47,0.5164,4.380101699998704,6,0,0,23,27,23,0.684,0.022
48,0.539,5.443161499999405,6,0,0,20,22,20,0.69,0.025
49,0.5322,5.497597300000052,6,0,0,24,26,24,0.697,0.025
