round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1017,31.251616800000193,6,0,0,5,1,1,0.0,0.0
1,0.2011,30.466498400001,6,0,0,5,3,3,0.0,0.0
2,0.2662,31.361817000000883,6,0,0,5,5,4,0.0,0.0
3,0.2268,31.817568700000265,6,0,0,6,8,5,0.0,0.0
4,0.2619,31.177350800000568,6,0,0,6,5,4,0.067,0.008
5,0.2805,32.02237619999869,6,0,0,5,5,3,0.111,0.014
6,0.3286,31.38481580000007,6,0,0,5,4,3,0.119,0.012
7,0.3709,31.478257999999187,6,0,0,4,5,4,0.125,0.016
8,0.356,30.451349399998435,6,1,0,5,8,5,0.148,0.023
9,0.398,31.07051810000121,6,1,0,5,5,5,0.191,0.029
10,0.407,29.451751599997806,6,1,0,4,3,3,0.241,0.034
11,0.377,30.21614690000206,6,1,0,5,5,5,0.282,0.035
12,0.4242,28.859041799998522,6,1,0,5,6,5,0.318,0.035
13,0.4455,31.027950100000453,6,1,0,5,4,4,0.336,0.033
14,0.4554,30.123993000001065,6,4,0,4,3,2,0.341,0.031
15,0.433,25.377373200000875,6,4,0,2,3,2,0.337,0.029
16,0.4128,26.207323700000416,6,4,0,2,4,2,0.334,0.027
17,0.421,26.846163799997157,6,4,0,2,4,2,0.331,0.025
18,0.4487,27.17818410000109,6,4,0,2,4,1,0.338,0.024
19,0.4503,27.932502899999236,6,4,0,2,2,2,0.344,0.023
20,0.4667,27.06103230000008,6,4,0,1,2,1,0.349,0.024
21,0.4651,28.75193880000006,6,4,0,1,3,1,0.353,0.025
22,0.4884,27.03970990000016,6,4,0,2,6,2,0.365,0.025
23,0.4853,27.278556900000694,6,5,0,2,4,2,0.375,0.024
24,0.5225,24.741720799996983,6,5,0,1,1,0,0.374,0.023
25,0.5199,27.119565400000283,6,5,0,1,2,1,0.373,0.022
26,0.5153,26.231854900001053,6,5,0,1,1,1,0.372,0.022
27,0.518,26.478384499998356,6,5,0,1,1,1,0.371,0.021
28,0.502,26.043436399999337,6,5,0,1,3,1,0.376,0.02
29,0.5287,26.35440639999797,6,5,0,1,4,1,0.381,0.019
30,0.5182,25.491133299998182,6,5,0,1,1,1,0.385,0.019
31,0.5426,27.200818100001925,6,5,0,1,1,1,0.389,0.018
32,0.535,27.064395099998364,6,5,0,1,2,1,0.393,0.018
33,0.5554,27.01742180000292,6,5,0,1,3,0,0.392,0.017
34,0.5527,25.552278499999375,6,5,0,1,3,1,0.391,0.017
35,0.561,25.68353070000012,6,5,0,1,1,0,0.389,0.016
36,0.5591,26.015023500000098,6,5,0,1,0,0,0.388,0.016
37,0.5537,25.914140699998825,6,5,0,1,2,1,0.387,0.015
38,0.5368,26.808012900000904,6,5,0,1,2,1,0.386,0.015
39,0.573,26.511449900001026,6,5,0,1,1,1,0.385,0.015
40,0.5681,28.17057239999849,6,5,0,1,2,1,0.388,0.014
41,0.587,26.213929300000018,6,5,0,1,2,1,0.391,0.014
42,0.5873,27.303393499998492,6,5,0,1,3,0,0.39,0.015
43,0.5826,26.035530300003302,6,5,0,1,1,1,0.389,0.014
44,0.573,27.616371699998126,6,5,0,1,4,1,0.388,0.014
45,0.58,27.27651809999952,6,5,0,1,2,1,0.388,0.014
46,0.596,28.311126500000682,6,5,0,1,2,0,0.387,0.013
47,0.5927,26.917545100001007,6,5,0,1,3,1,0.386,0.014
48,0.6014,26.671427100001893,6,5,0,1,2,1,0.385,0.014
49,0.5862,26.97215050000159,6,5,0,1,4,1,0.384,0.016
