round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1,38.58436259999871,6,0,0,19,5,0,0.0,0.0
1,0.1,38.85414260000107,6,0,0,21,5,3,0.0,0.0
2,0.1,38.120004500000505,6,0,0,19,12,11,0.167,0.0
3,0.1,37.1097265999997,6,0,0,23,7,5,0.167,0.0
4,0.1,36.71236239999416,6,0,0,22,15,15,0.267,0.0
5,0.1,37.56251640000846,6,0,0,20,11,10,0.278,0.0
6,0.1062,37.64601050000056,6,0,0,18,15,11,0.31,0.0
7,0.1,38.84741180000128,6,0,0,22,14,11,0.312,0.0
8,0.1,37.236299500014866,6,0,0,17,19,14,0.352,0.0
9,0.1,36.88426230000914,6,0,0,22,13,11,0.333,0.004
10,0.1472,37.49755209998693,6,0,0,19,10,10,0.333,0.004
11,0.1162,37.47005689999787,6,0,0,18,18,16,0.375,0.003
12,0.1438,37.55982409999706,6,2,0,20,20,16,0.385,0.003
13,0.158,35.44690099998843,6,2,0,14,16,9,0.385,0.006
14,0.1962,38.88843349998933,6,2,0,15,19,12,0.407,0.017
15,0.2591,39.26250899999286,6,2,0,15,20,12,0.426,0.016
16,0.3015,34.71569620000082,6,2,0,13,20,13,0.453,0.02
17,0.3383,34.58826050002244,6,2,0,14,16,12,0.468,0.021
18,0.3552,34.11317759999656,6,2,0,13,18,13,0.49,0.02
19,0.377,34.91662470001029,6,2,0,15,23,15,0.51,0.023
20,0.4027,34.7659038999991,6,2,0,14,16,14,0.527,0.022
21,0.4128,35.43287640000926,6,2,0,14,16,14,0.544,0.021
22,0.42,34.4358721000026,6,2,0,12,16,12,0.559,0.02
23,0.4261,35.18239760000142,6,2,0,12,19,12,0.572,0.021
24,0.4358,33.481708300008904,6,2,0,13,18,13,0.585,0.022
25,0.4565,33.035292999993544,6,2,0,14,18,14,0.596,0.021
26,0.4618,32.49538290000055,6,2,0,14,22,14,0.607,0.023
27,0.459,33.05377889997908,6,2,0,14,19,12,0.611,0.024
28,0.4697,34.89000240000314,6,2,0,15,21,14,0.615,0.024
29,0.4655,36.092480599996634,6,2,0,13,22,13,0.624,0.028
