round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1032,0,5,3
1,0.1896,0,9,3
2,0.2506,0,9,3
3,0.2767,0,9,3
4,0.3152,0,10,3
5,0.3153,0,14,3
6,0.3299,0,16,3
7,0.3339,1,19,3
8,0.3683,2,19,3
9,0.3887,2,19,3
10,0.3873,2,19,3
11,0.4083,2,19,3
12,0.4174,2,19,3
13,0.4159,2,19,3
14,0.4424,2,19,3
15,0.4363,2,19,3
16,0.4487,2,19,3
17,0.4529,2,19,3
18,0.4673,2,19,3
19,0.4328,3,20,3
20,0.4573,3,20,3
21,0.4388,3,21,3
22,0.4592,3,21,3
23,0.472,3,21,3
24,0.4796,3,21,3
25,0.4794,3,21,3
26,0.4726,3,21,3
27,0.4837,3,21,3
28,0.4951,3,21,3
29,0.4975,3,21,3
30,0.5012,3,21,3
31,0.4911,3,22,3
32,0.4817,3,22,3
33,0.4989,3,22,3
34,0.5091,3,22,3
35,0.499,3,22,3
36,0.4899,3,22,3
37,0.5066,3,22,3
38,0.518,3,22,3
39,0.5075,3,22,3
40,0.5053,3,22,3
41,0.513,3,22,3
42,0.5274,3,22,3
43,0.5293,3,22,3
44,0.5328,3,22,3
45,0.5088,3,22,3
46,0.5299,3,22,3
47,0.5381,3,22,3
48,0.5352,3,22,3
49,0.5305,3,22,3
