round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1,1,7,6
1,0.1008,4,9,6
2,0.1,4,13,6
3,0.1308,5,14,6
4,0.104,5,16,6
5,0.1716,6,16,6
6,0.1882,6,16,6
7,0.1928,6,16,6
8,0.244,6,16,6
9,0.2326,6,16,6
10,0.2926,6,16,6
11,0.2787,6,16,6
12,0.3268,6,16,6
13,0.329,6,16,6
14,0.3542,6,16,6
15,0.3798,6,16,6
16,0.3756,6,16,6
17,0.4018,6,16,6
18,0.4047,6,16,6
19,0.4202,6,16,6
20,0.4323,6,16,6
21,0.4383,6,16,6
22,0.4379,6,16,6
23,0.4496,6,16,6
24,0.4621,6,16,6
25,0.4594,6,16,6
26,0.4685,6,16,6
27,0.4667,6,16,6
28,0.4819,6,16,6
29,0.4794,6,16,6
