round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.4739,2,3,3
1,0.511,3,8,3
2,0.5996,3,9,3
3,0.6096,3,9,3
4,0.6212,3,9,3
5,0.6277,3,9,3
6,0.6138,3,14,3
7,0.5983,3,20,3
8,0.6068,3,20,3
9,0.613,3,20,3
10,0.6167,3,20,3
11,0.6157,3,20,3
12,0.6184,3,20,3
13,0.6189,3,20,3
14,0.6231,3,20,3
15,0.62,3,20,3
16,0.6408,3,20,3
17,0.6215,3,20,3
18,0.6445,3,20,3
19,0.6331,3,20,3
20,0.6106,3,22,3
21,0.6029,3,22,3
22,0.6027,3,22,3
23,0.5977,3,23,3
24,0.5951,3,23,3
25,0.6064,3,23,3
26,0.6274,3,23,3
27,0.5939,3,23,3
28,0.6205,3,23,3
29,0.6385,3,23,3
30,0.6232,3,23,3
31,0.614,3,23,3
32,0.6005,3,23,3
33,0.6153,3,23,3
34,0.6111,3,23,3
35,0.6179,3,23,3
36,0.6265,3,23,3
37,0.6357,3,23,3
38,0.6233,3,23,3
39,0.6206,3,23,3
40,0.6203,3,23,3
41,0.6209,3,23,3
42,0.6235,3,23,3
43,0.6219,3,23,3
44,0.6228,3,23,3
45,0.6405,3,23,3
46,0.628,3,23,3
47,0.6232,3,23,3
48,0.6373,3,23,3
49,0.621,3,23,3
