round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3562,2,1,3
1,0.425,2,1,3
2,0.4645,2,1,3
3,0.5395,2,1,3
4,0.5878,2,1,3
5,0.6026,2,1,3
6,0.6132,2,1,3
7,0.6138,2,1,3
8,0.6179,2,1,3
9,0.6331,2,1,3
10,0.6396,2,1,3
11,0.6395,2,1,3
12,0.642,2,1,3
13,0.6449,2,1,3
14,0.6452,2,1,3
15,0.6643,3,7,3
16,0.6652,3,7,3
17,0.663,3,7,3
18,0.6634,3,7,3
19,0.6569,3,7,3
20,0.6656,3,7,3
21,0.6674,3,7,3
22,0.6596,3,7,3
23,0.6589,3,7,3
24,0.6565,3,7,3
25,0.659,3,7,3
26,0.659,3,7,3
27,0.6557,3,7,3
28,0.6541,3,7,3
29,0.6577,3,7,3
30,0.656,3,7,3
31,0.6614,3,7,3
32,0.6636,3,7,3
33,0.6585,3,7,3
34,0.6684,3,7,3
35,0.6891,3,7,3
36,0.6644,3,7,3
37,0.6659,3,7,3
38,0.687,3,7,3
39,0.666,3,7,3
40,0.6661,3,7,3
41,0.6746,3,7,3
42,0.6683,3,7,3
43,0.6683,3,7,3
44,0.6661,3,7,3
45,0.6704,3,7,3
46,0.674,3,7,3
47,0.6669,3,7,3
48,0.687,3,7,3
49,0.671,3,7,3
