round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1977,0,5,6
1,0.5088,3,5,6
2,0.652,5,10,6
3,0.7061,5,10,6
4,0.7375,5,10,6
5,0.7555,5,10,6
6,0.7709,5,10,6
7,0.7868,5,10,6
8,0.7918,5,10,6
9,0.8032,5,10,6
10,0.7994,5,10,6
11,0.8069,5,10,6
12,0.8111,5,10,6
13,0.8139,5,10,6
14,0.8184,5,10,6
15,0.8144,5,10,6
16,0.822,5,10,6
17,0.8244,5,10,6
18,0.8267,5,10,6
19,0.8234,5,10,6
20,0.8334,5,10,6
21,0.83,5,10,6
22,0.832,5,10,6
23,0.8325,5,10,6
24,0.8361,5,10,6
25,0.835,5,10,6
26,0.8341,5,10,6
27,0.8348,5,10,6
28,0.8366,5,10,6
29,0.8335,5,10,6
30,0.8381,5,10,6
31,0.8338,5,10,6
32,0.8401,5,10,6
33,0.8397,5,10,6
34,0.8379,5,10,6
35,0.8404,5,10,6
36,0.8357,5,10,6
37,0.8395,5,10,6
38,0.8412,5,10,6
39,0.8392,5,10,6
40,0.8415,5,10,6
41,0.8429,5,10,6
42,0.8404,5,10,6
43,0.8411,5,10,6
44,0.8394,5,10,6
45,0.8387,5,10,6
46,0.8424,5,10,6
47,0.8424,5,10,6
48,0.8399,5,10,6
49,0.8423,5,10,6
