round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1646,4,4,6
1,0.2449,4,4,6
2,0.2718,4,4,6
3,0.294,4,4,6
4,0.2909,4,4,6
5,0.2458,4,4,6
6,0.2913,4,4,6
7,0.0562,4,4,6
8,0.124,4,4,6
9,0.3128,4,4,6
10,0.3793,4,4,6
11,0.4007,4,4,6
12,0.3861,4,4,6
13,0.3611,4,4,6
14,0.2628,4,4,6
15,0.363,4,4,6
16,0.3958,4,4,6
17,0.327,4,4,6
18,0.4331,4,4,6
19,0.3821,4,4,6
20,0.0802,4,4,6
21,0.0852,4,4,6
22,0.2276,4,4,6
23,0.3542,4,4,6
24,0.3915,4,4,6
25,0.1653,4,4,6
26,0.393,4,4,6
27,0.3972,4,4,6
28,0.3936,4,4,6
29,0.4629,4,4,6
30,0.3877,4,4,6
31,0.2519,4,4,6
32,0.449,4,4,6
33,0.3524,4,4,6
34,0.3719,4,4,6
35,0.2773,4,4,6
36,0.3198,4,4,6
37,0.4256,4,4,6
38,0.4921,4,4,6
39,0.4964,4,4,6
40,0.4257,4,4,6
41,0.3984,4,4,6
42,0.4852,5,4,6
43,0.5959,5,4,6
44,0.6269,5,4,6
45,0.6401,5,4,6
46,0.646,5,4,6
47,0.6588,5,4,6
48,0.6673,5,4,6
49,0.6721,5,4,6
