round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3899,2,6,6
1,0.6921,2,6,6
2,0.722,3,6,6
3,0.7339,4,11,6
4,0.7597,4,12,6
5,0.7655,4,12,6
6,0.7777,5,14,6
7,0.79,5,14,6
8,0.8093,5,14,6
9,0.8028,5,14,6
10,0.8151,5,14,6
11,0.8105,5,14,6
12,0.8304,5,14,6
13,0.818,5,14,6
14,0.8356,5,14,6
15,0.83,5,14,6
16,0.8459,5,14,6
17,0.839,5,14,6
18,0.8523,6,14,6
19,0.8512,6,14,6
20,0.8572,6,14,6
21,0.8593,6,14,6
22,0.8608,6,14,6
23,0.86,6,14,6
24,0.865,6,14,6
25,0.8649,6,14,6
26,0.865,6,14,6
27,0.8658,6,14,6
28,0.8683,6,14,6
29,0.8708,6,14,6
30,0.8713,6,14,6
31,0.8727,6,14,6
32,0.8726,6,14,6
33,0.8746,6,14,6
34,0.8738,6,14,6
35,0.874,6,14,6
36,0.8785,6,14,6
37,0.878,6,14,6
38,0.8793,6,14,6
39,0.8743,6,14,6
40,0.8773,6,14,6
41,0.8814,6,14,6
42,0.881,6,14,6
43,0.8817,6,14,6
44,0.8844,6,14,6
45,0.8846,6,14,6
46,0.8858,6,14,6
47,0.8833,6,14,6
48,0.886,6,14,6
49,0.8854,6,14,6
