round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2787,4,4,6
1,0.3767,4,4,6
2,0.3829,4,4,6
3,0.4112,4,4,6
4,0.4217,4,4,6
5,0.471,4,4,6
6,0.4704,4,4,6
7,0.5139,4,4,6
8,0.5419,4,4,6
9,0.5348,4,4,6
10,0.51,4,4,6
11,0.5437,4,4,6
12,0.5132,4,4,6
13,0.5688,4,4,6
14,0.5387,4,4,6
15,0.5139,4,4,6
16,0.5111,4,4,6
17,0.5301,4,4,6
18,0.5115,4,4,6
19,0.5905,4,4,6
20,0.6182,4,4,6
21,0.6265,4,4,6
22,0.6325,4,4,6
23,0.6145,4,4,6
24,0.6817,5,5,6
25,0.6957,5,5,6
26,0.733,5,5,6
27,0.7479,5,5,6
28,0.7604,5,6,6
29,0.7681,5,6,6
30,0.7671,5,6,6
31,0.7672,5,6,6
32,0.771,5,6,6
33,0.7666,5,6,6
34,0.7691,5,7,6
35,0.7694,5,7,6
36,0.7652,5,7,6
37,0.758,5,7,6
38,0.7598,5,7,6
39,0.7702,5,7,6
40,0.7635,5,7,6
41,0.7662,5,7,6
42,0.7639,5,7,6
43,0.7642,5,7,6
44,0.7693,5,7,6
45,0.766,5,7,6
46,0.7694,5,7,6
47,0.775,5,7,6
48,0.7751,5,7,6
49,0.7744,5,7,6
