round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1423,1,0,6
1,0.1049,1,0,6
2,0.1606,1,0,6
3,0.1952,1,0,6
4,0.2887,3,6,6
5,0.3572,3,6,6
6,0.1612,3,6,6
7,0.1,3,6,6
8,0.1893,5,8,6
9,0.3635,5,8,6
10,0.4826,5,10,6
11,0.4709,5,10,6
12,0.5299,5,10,6
13,0.5706,5,10,6
14,0.6109,5,10,6
15,0.6416,5,10,6
16,0.6973,5,10,6
17,0.6515,5,10,6
18,0.6857,5,10,6
19,0.7111,5,10,6
20,0.7261,5,10,6
21,0.692,5,10,6
22,0.6889,5,10,6
23,0.7048,5,10,6
24,0.7273,5,10,6
25,0.7056,5,10,6
26,0.6932,5,10,6
27,0.6713,5,10,6
28,0.686,5,10,6
29,0.6818,5,10,6
30,0.6888,5,10,6
31,0.6858,5,10,6
32,0.6889,5,10,6
33,0.6869,5,10,6
34,0.6858,5,10,6
35,0.6822,5,10,6
36,0.6898,5,10,6
37,0.6851,5,10,6
38,0.689,5,10,6
39,0.6825,5,10,6
40,0.684,5,10,6
41,0.6761,5,10,6
42,0.6923,5,10,6
43,0.6961,5,10,6
44,0.6849,5,10,6
45,0.6999,5,10,6
46,0.6966,5,10,6
47,0.6941,5,10,6
48,0.693,5,10,6
49,0.6904,5,10,6
