round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1491,1,6,3
1,0.2263,1,6,3
2,0.2341,1,6,3
3,0.3005,1,6,3
4,0.3058,1,8,3
5,0.3475,2,13,3
6,0.3667,2,13,3
7,0.3791,2,13,3
8,0.4076,2,13,3
9,0.4047,2,13,3
10,0.4254,2,13,3
11,0.4079,2,15,3
12,0.4353,2,15,3
13,0.4285,2,15,3
14,0.4509,2,15,3
15,0.4495,2,15,3
16,0.4715,2,18,3
17,0.4632,2,18,3
18,0.4881,2,18,3
19,0.4813,2,18,3
20,0.4931,2,18,3
21,0.4971,2,18,3
22,0.5076,2,18,3
23,0.51,2,18,3
24,0.5077,2,18,3
25,0.5193,2,18,3
26,0.5105,2,18,3
27,0.531,2,18,3
28,0.5285,2,18,3
29,0.5366,2,18,3
