round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1015,2,6,6
1,0.1516,4,6,6
2,0.1619,5,8,6
3,0.1722,5,12,6
4,0.2293,6,13,6
5,0.2303,6,13,6
6,0.2381,6,15,6
7,0.2754,6,15,6
8,0.2714,6,15,6
9,0.3344,6,15,6
10,0.3387,6,15,6
11,0.3935,6,15,6
12,0.3901,6,15,6
13,0.4174,6,15,6
14,0.4137,6,17,6
15,0.4353,6,17,6
16,0.4266,6,17,6
17,0.4507,6,17,6
18,0.3813,6,19,6
19,0.4243,6,19,6
20,0.3936,6,19,6
21,0.4271,6,19,6
22,0.4145,6,19,6
23,0.435,6,19,6
24,0.4387,6,19,6
25,0.4414,6,19,6
26,0.4478,6,19,6
27,0.4519,6,19,6
28,0.4577,6,19,6
29,0.4476,6,19,6
