round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1897,0,5,6
1,0.4871,4,7,6
2,0.6194,5,12,6
3,0.6834,5,12,6
4,0.7205,5,12,6
5,0.7435,5,12,6
6,0.7601,5,12,6
7,0.7672,5,12,6
8,0.7832,5,12,6
9,0.7844,5,12,6
10,0.791,5,12,6
11,0.7947,5,12,6
12,0.8024,5,12,6
13,0.8028,5,12,6
14,0.8079,5,12,6
15,0.8075,5,12,6
16,0.8106,5,12,6
17,0.8182,5,12,6
18,0.8166,5,12,6
19,0.8177,5,12,6
20,0.8206,5,12,6
21,0.8214,5,12,6
22,0.8273,5,12,6
23,0.8186,5,12,6
24,0.8288,5,12,6
25,0.8222,5,12,6
26,0.8249,5,12,6
27,0.8255,5,12,6
28,0.8264,5,12,6
29,0.8277,5,12,6
