round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1915,2,3,3
1,0.4107,2,3,3
2,0.5545,2,3,3
3,0.6203,2,3,3
4,0.6686,2,3,3
5,0.6986,2,3,3
6,0.7221,2,3,3
7,0.7345,2,3,3
8,0.7496,2,3,3
9,0.7509,2,3,3
10,0.7643,2,3,3
11,0.7632,2,3,3
12,0.7669,2,3,3
13,0.7721,2,3,3
14,0.7779,2,3,3
15,0.779,2,3,3
16,0.7875,2,3,3
17,0.7892,2,3,3
18,0.7871,2,3,3
19,0.7893,2,3,3
20,0.7937,2,3,3
21,0.7952,2,3,3
22,0.8003,2,3,3
23,0.7958,2,3,3
24,0.7978,2,3,3
25,0.8,2,3,3
26,0.8004,2,3,3
27,0.7999,2,3,3
28,0.8012,2,3,3
29,0.7987,2,3,3
