round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3178,2,3,9
1,0.5138,5,6,9
2,0.6708,6,7,9
3,0.7211,6,7,9
4,0.7404,6,7,9
5,0.7596,6,9,9
6,0.758,6,9,9
7,0.7867,6,9,9
8,0.7414,6,9,9
9,0.8033,6,9,9
10,0.7016,6,9,9
11,0.8133,6,12,9
12,0.6663,6,12,9
13,0.8236,6,12,9
14,0.6018,6,12,9
15,0.8322,6,12,9
16,0.5796,6,12,9
17,0.8305,6,12,9
18,0.517,6,12,9
19,0.8427,6,12,9
20,0.4576,6,12,9
21,0.8466,6,12,9
22,0.5279,6,12,9
23,0.8506,6,12,9
24,0.5748,6,12,9
25,0.8533,6,12,9
26,0.6252,6,12,9
27,0.8584,6,12,9
28,0.4271,6,12,9
29,0.8627,6,12,9
