round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1428,1,0,6
1,0.1043,1,0,6
2,0.1581,1,0,6
3,0.1822,1,0,6
4,0.1805,1,0,6
5,0.1479,1,0,6
6,0.3634,5,4,6
7,0.511,5,6,6
8,0.5682,5,6,6
9,0.6176,5,6,6
10,0.6519,5,6,6
11,0.657,5,6,6
12,0.6814,5,6,6
13,0.6701,5,6,6
14,0.6913,5,6,6
15,0.7271,5,6,6
16,0.77,5,6,6
17,0.7585,5,6,6
18,0.7736,5,6,6
19,0.779,5,6,6
20,0.7859,5,6,6
21,0.7922,5,6,6
22,0.7799,5,6,6
23,0.7959,5,6,6
24,0.803,5,6,6
25,0.7903,5,6,6
26,0.7904,5,6,6
27,0.7833,5,6,6
28,0.7953,5,6,6
29,0.8075,5,6,6
