round,acc,t_round_s,n_malicious,asr
0,0.2104,4.664487599991844,3,0.6576666666666666
1,0.5904,5.399771800002782,3,0.020888888888888887
2,0.7032,5.322460100011085,3,0.03666666666666667
3,0.7338,5.150642300010077,3,0.036
4,0.7373,5.252579799998784,3,0.04833333333333333
5,0.7605,5.336410200005048,3,0.043222222222222224
6,0.7692,5.284226600007969,3,0.05188888888888889
7,0.7816,5.310345600009896,3,0.04188888888888889
8,0.7844,5.343381400001817,3,0.04588888888888889
9,0.7955,5.432972199996584,3,0.042888888888888886
10,0.7975,5.409635299991351,3,0.04566666666666667
11,0.8031,5.384766400005901,3,0.04822222222222222
12,0.8067,5.318551999996998,3,0.043555555555555556
13,0.8153,5.3053993999928934,3,0.03688888888888889
14,0.8147,5.354820400010794,3,0.041555555555555554
15,0.8203,5.291757200000575,3,0.034
16,0.82,5.319662599998992,3,0.04655555555555556
17,0.8269,5.339221900008852,3,0.04466666666666667
18,0.8269,5.386119800008601,3,0.03766666666666667
19,0.832,5.318916500007617,3,0.03388888888888889
20,0.8344,5.312434599996777,3,0.035777777777777776
21,0.8401,5.307554300001357,3,0.035111111111111114
22,0.8421,5.299384999991162,3,0.034666666666666665
23,0.8414,5.304949600002146,3,0.034888888888888886
24,0.8462,5.304391300000134,3,0.036555555555555556
25,0.8516,5.318316999997478,3,0.029444444444444443
26,0.847,5.286608199996408,3,0.035
27,0.8522,5.339972699992359,3,0.02666666666666667
28,0.8496,5.31110500000068,3,0.03411111111111111
29,0.8568,5.321526900006575,3,0.024555555555555556
30,0.8557,5.378769900009502,3,0.029444444444444443
31,0.8568,5.288973899994744,3,0.029777777777777778
32,0.8601,5.2783187000022735,3,0.029777777777777778
33,0.8573,5.330339400010416,3,0.03144444444444444
34,0.8623,5.314282799998182,3,0.029111111111111112
35,0.8624,5.393211999995401,3,0.02322222222222222
36,0.8646,5.392665100007434,3,0.026111111111111113
37,0.8634,5.368342999994638,3,0.025222222222222222
38,0.868,5.357264100006432,3,0.029777777777777778
39,0.8672,5.334380399988731,3,0.028777777777777777
40,0.8683,5.478900199988857,3,0.025111111111111112
41,0.8648,5.345069000002695,3,0.036
42,0.8687,5.389783200007514,3,0.028
43,0.8702,5.360827700002119,3,0.028666666666666667
44,0.871,5.391278600000078,3,0.027444444444444445
45,0.8723,5.062407699995674,3,0.025666666666666667
46,0.876,2.4829587999993237,3,0.02411111111111111
47,0.876,2.4551385000086157,3,0.025666666666666667
48,0.8763,2.4329034999973373,3,0.025555555555555557
49,0.8786,2.818514700004016,3,0.024333333333333332
