round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.3896,5.872507499996573,9,0,1,0.9496666666666667
1,0.5863,5.311138999997638,9,0,2,0.5274444444444445
2,0.7037,5.111096299995552,9,0,2,0.9275555555555556
3,0.7371,4.371171899998444,9,0,2,0.9625555555555556
4,0.7405,4.227978800001438,9,0,3,0.9711111111111111
5,0.7602,3.942281700001331,9,0,3,0.9855555555555555
6,0.7616,4.502371299997321,9,0,3,0.984
7,0.7818,4.830075299993041,9,0,3,0.996
8,0.772,4.861153200006811,9,0,3,0.9942222222222222
9,0.7959,4.714682599995285,9,0,3,0.995
10,0.7958,4.834070199998678,9,0,3,0.9953333333333333
11,0.8003,4.750122600002214,9,0,3,0.992
12,0.8059,4.76988849999907,9,0,3,0.9948888888888889
13,0.8092,4.858452899992699,9,0,3,0.9954444444444445
14,0.8109,4.795853400006308,9,0,3,0.9957777777777778
15,0.8145,4.82776030000241,9,0,3,0.996
16,0.8186,4.843320699990727,9,0,3,0.9963333333333333
17,0.8188,4.909513600010541,9,0,3,0.998
18,0.8212,4.834255599998869,9,0,3,0.9964444444444445
19,0.8305,4.747950699995272,9,0,3,0.9978888888888889
20,0.829,4.715219899997464,9,0,3,0.9992222222222222
21,0.831,4.677006800004165,9,0,3,0.9983333333333333
22,0.8341,4.715108400007011,9,0,3,0.9986666666666667
23,0.84,4.874898099995335,9,0,3,0.9987777777777778
24,0.8435,4.870950800002902,9,0,3,0.9986666666666667
25,0.8369,4.208153600004152,9,0,3,0.9987777777777778
26,0.8416,4.082717400000547,9,0,4,0.9994444444444445
27,0.8452,3.893847999992431,9,0,4,0.9994444444444445
28,0.8476,3.9860361000028206,9,0,4,0.9996666666666667
29,0.8482,3.907460699992953,9,0,4,0.999
30,0.8516,4.204018299991731,9,0,4,0.9991111111111111
31,0.8538,4.758867900003679,9,0,4,0.9997777777777778
32,0.8529,4.671674199998961,9,0,4,0.9996666666666667
33,0.8538,4.75796599999012,9,0,4,0.999
34,0.855,4.633522600008291,9,0,4,0.9991111111111111
35,0.8521,4.819933500009938,9,0,4,0.9993333333333333
36,0.8582,4.7235146000020904,9,0,4,0.9994444444444445
37,0.8588,4.64466540000285,9,0,4,0.9997777777777778
38,0.858,4.683136200008448,9,0,4,0.9994444444444445
39,0.8602,4.830694300006144,9,0,4,0.9993333333333333
40,0.8606,4.636310999994748,9,0,4,0.9996666666666667
41,0.8617,4.77517780000926,9,0,4,0.9995555555555555
42,0.8632,4.770408099997439,9,0,4,0.9996666666666667
43,0.865,4.640757299988763,9,0,4,0.9996666666666667
44,0.8632,4.255217600002652,9,0,4,0.9997777777777778
45,0.8632,3.85429249999288,9,0,4,0.9997777777777778
46,0.8667,3.903152400002,9,0,4,0.9997777777777778
47,0.8655,3.8251440999883926,9,0,4,0.9997777777777778
48,0.8675,4.063851500002784,9,0,4,0.9997777777777778
49,0.8655,3.879198099995847,9,0,4,0.9997777777777778
