round,acc,t_round_s,n_malicious,asr
0,0.2609,5.440061200002674,6,0.7292222222222222
1,0.6506,5.001715999998851,6,0.03911111111111111
2,0.6508,4.950192699994659,6,0.25222222222222224
3,0.6772,4.951829899990116,6,0.10366666666666667
4,0.643,4.904518199997256,6,0.6371111111111111
5,0.7271,3.9936156000039773,6,0.3942222222222222
6,0.7126,4.012944699992659,6,0.7866666666666666
7,0.7484,4.260384499997599,6,0.6958888888888889
8,0.6917,4.932243000002927,6,0.8734444444444445
9,0.7679,4.934457199997269,6,0.869
10,0.7134,4.997169199996279,6,0.9018888888888889
11,0.7766,4.991558800000348,6,0.9247777777777778
12,0.7566,4.956505999987712,6,0.9262222222222222
13,0.7681,4.970804999989923,6,0.9528888888888889
14,0.7141,5.130559800003539,6,0.9575555555555556
15,0.7796,4.9608651000016835,6,0.9547777777777777
16,0.7303,4.949149599997327,6,0.9756666666666667
17,0.7454,5.027604599992628,6,0.9662222222222222
18,0.7817,4.98279910000565,6,0.976
19,0.7851,4.987506999998004,6,0.9776666666666667
20,0.7795,4.965979900007369,6,0.9777777777777777
21,0.7821,4.97185719999834,6,0.9857777777777778
22,0.7859,4.950154299993301,6,0.9835555555555555
23,0.7856,4.9994558000034885,6,0.9812222222222222
24,0.7982,4.990121399998316,6,0.9925555555555555
25,0.7739,4.9792968000110704,6,0.9713333333333334
26,0.822,4.962866300003952,6,0.9934444444444445
27,0.7765,5.0777843999967445,6,0.9818888888888889
28,0.8349,4.974291999998968,6,0.9954444444444445
29,0.8087,4.953424199993606,6,0.9855555555555555
30,0.8197,4.959338400003617,6,0.9937777777777778
31,0.8258,4.978805400009151,6,0.9845555555555555
32,0.8292,4.949254200007999,6,0.9977777777777778
33,0.793,4.926103700010572,6,0.9792222222222222
34,0.8452,4.9421099000028335,6,0.9991111111111111
35,0.8375,4.926271100004669,6,0.9844444444444445
36,0.8488,4.95979079999961,6,1.0
37,0.8079,4.948985200011521,6,0.9773333333333334
38,0.8513,4.810619399999268,6,1.0
39,0.8291,3.988168099996983,6,0.9892222222222222
40,0.8563,4.178865800000494,6,0.9985555555555555
41,0.8386,4.36760630000208,6,0.9964444444444445
42,0.8443,4.98057770000014,6,0.998
43,0.859,4.998405300008017,6,0.9946666666666667
44,0.8315,4.999536299990723,6,0.9997777777777778
45,0.8466,4.991471799992723,6,0.9932222222222222
46,0.8405,5.024496400001226,6,0.9997777777777778
47,0.8544,4.958001000006334,6,0.9972222222222222
48,0.769,4.524899600000936,6,0.9994444444444445
49,0.8598,4.109942499999306,6,0.9975555555555555
