round,acc,t_round_s,n_malicious,asr
0,0.3812,5.954352000000654,3,0.36666666666666664
1,0.6585,5.421926200011512,3,0.03811111111111111
2,0.726,5.300312500010477,3,0.07122222222222223
3,0.7418,5.377172299995436,3,0.058333333333333334
4,0.7603,5.401477400009753,3,0.077
5,0.7713,5.468571100005647,3,0.093
6,0.7767,5.451755799993407,3,0.11866666666666667
7,0.7922,5.386106500009191,3,0.11777777777777777
8,0.7947,5.369204000002355,3,0.15977777777777777
9,0.8043,5.3995418999984395,3,0.1801111111111111
10,0.811,5.447008200004348,3,0.22833333333333333
11,0.8167,5.408526899991557,3,0.2882222222222222
12,0.82,5.384222900000168,3,0.3391111111111111
13,0.8237,5.305720699994708,3,0.393
14,0.8281,5.371287799993297,3,0.48355555555555557
15,0.8324,5.381283600014285,3,0.5462222222222223
16,0.835,5.33196450000105,3,0.6431111111111111
17,0.8409,5.321537399999215,3,0.6671111111111111
18,0.8411,5.375590800002101,3,0.7081111111111111
19,0.8434,5.413724300000467,3,0.7341111111111112
20,0.8459,5.341194100008579,3,0.7647777777777778
21,0.8498,5.454326199993375,3,0.7897777777777778
22,0.8502,5.400091600007727,3,0.817
23,0.8522,5.375656200005324,3,0.8078888888888889
24,0.8538,5.382964799995534,3,0.8575555555555555
25,0.8592,5.390823599998839,3,0.8506666666666667
26,0.8581,5.414501499995822,3,0.8747777777777778
27,0.8596,5.484516500000609,3,0.88
28,0.8622,5.5025429999950575,3,0.8971111111111111
29,0.8606,5.456632899993565,3,0.8942222222222223
30,0.8637,5.450857999996515,3,0.9064444444444445
31,0.8649,5.404607600008603,3,0.9212222222222223
32,0.8667,5.372464799991576,3,0.9293333333333333
33,0.8693,5.335048900000402,3,0.939
34,0.8701,5.461656499988749,3,0.9362222222222222
35,0.8701,5.304905199998757,3,0.9405555555555556
36,0.8731,5.319830399996135,3,0.9446666666666667
37,0.8739,5.3208980000054,3,0.9492222222222222
38,0.8759,5.29675639999914,3,0.9537777777777777
39,0.8759,4.440162800005055,3,0.9548888888888889
40,0.8774,4.33976079999411,3,0.9608888888888889
41,0.8775,4.333942099998239,3,0.9637777777777777
42,0.8785,4.902183399986825,3,0.9636666666666667
43,0.879,5.158844300007331,3,0.9676666666666667
44,0.8804,4.036816300009377,3,0.969
45,0.8815,3.508375300007174,3,0.9687777777777777
46,0.8822,3.1893275000038557,3,0.9715555555555555
47,0.8825,3.4558637000009185,3,0.9732222222222222
48,0.8837,4.627830800003721,3,0.9723333333333334
49,0.8855,4.87216929999704,3,0.9755555555555555
