round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.2967,36.777677199999744,9,0,0,6,6,6,0.0,0.0,0.0
1,0.5401,34.725494700003765,9,0,0,7,8,7,0.0,0.0,0.051111111111111114
2,0.7089,35.05212349999783,9,0,0,7,6,5,0.0,0.0,0.07211111111111111
3,0.7205,36.75290840000525,9,0,0,5,6,5,0.194,0.036,0.04788888888888889
4,0.7319,34.38447830000223,9,0,0,6,4,4,0.289,0.048,0.10233333333333333
5,0.7658,34.42168340000353,9,5,0,6,5,5,0.333,0.04,0.042888888888888886
6,0.7811,28.02239439999539,9,5,0,4,5,3,0.341,0.041,0.124
7,0.7877,27.89311109999835,9,5,0,3,1,0,0.333,0.036,0.20533333333333334
8,0.8047,28.326578499996685,9,5,0,3,2,1,0.327,0.032,0.23266666666666666
9,0.8041,28.583508700001403,9,5,0,3,1,1,0.322,0.029,0.27
10,0.793,28.893027099999017,9,5,0,3,2,0,0.318,0.026,0.5548888888888889
11,0.8204,27.73057079999853,9,5,0,4,1,1,0.315,0.024,0.6681111111111111
12,0.8235,28.53916329999629,9,5,0,4,1,1,0.312,0.022,0.738
13,0.8271,27.931128600001102,9,5,0,4,0,0,0.31,0.02,0.783
14,0.8327,28.601276399997005,9,5,0,4,1,0,0.307,0.019,0.8612222222222222
15,0.8339,27.776579800003674,9,5,0,4,0,0,0.306,0.018,0.8725555555555555
16,0.84,28.577957100002095,9,5,0,3,0,0,0.304,0.017,0.9037777777777778
17,0.8416,28.369208699994488,9,5,0,3,0,0,0.302,0.016,0.9092222222222223
18,0.849,28.798912300000666,9,5,0,4,2,0,0.301,0.015,0.9323333333333333
19,0.846,28.195843300003617,9,5,0,4,0,0,0.3,0.014,0.9493333333333334
20,0.8508,27.91802550000284,9,5,0,3,0,0,0.299,0.014,0.9521111111111111
21,0.851,28.620153500000015,9,5,0,3,0,0,0.298,0.013,0.9554444444444444
22,0.8541,28.24080099999992,9,5,0,3,1,0,0.297,0.012,0.9612222222222222
23,0.8557,28.099869400000898,9,5,0,2,1,0,0.296,0.012,0.9605555555555556
24,0.8582,27.758125799999107,9,5,0,4,1,0,0.296,0.011,0.9717777777777777
25,0.8566,28.574368000001414,9,5,0,2,0,0,0.295,0.011,0.9767777777777777
26,0.8614,28.31064630000037,9,5,0,2,0,0,0.294,0.011,0.9757777777777777
27,0.8626,28.790661899998668,9,5,0,3,0,0,0.294,0.01,0.976
28,0.8639,27.361332999993465,9,5,0,4,0,0,0.293,0.01,0.982
29,0.8647,28.839005600006203,9,5,0,2,0,0,0.293,0.01,0.9808888888888889
30,0.8662,27.673440099999425,9,5,0,3,0,0,0.292,0.009,0.9845555555555555
31,0.8687,28.43088820000412,9,5,0,4,0,0,0.292,0.009,0.9852222222222222
32,0.8683,27.756064200002584,9,5,0,4,0,0,0.291,0.009,0.9837777777777778
33,0.8688,28.51799149999715,9,5,0,3,0,0,0.291,0.008,0.9853333333333333
34,0.8717,28.174282500003756,9,5,0,4,0,0,0.29,0.008,0.9873333333333333
35,0.874,28.519797399996605,9,5,0,4,0,0,0.29,0.008,0.9883333333333333
36,0.8751,28.68696590000036,9,5,0,4,0,0,0.29,0.008,0.9891111111111112
37,0.8744,29.08146359999955,9,5,0,3,0,0,0.289,0.008,0.9885555555555555
38,0.8769,28.652102000000014,9,5,0,4,0,0,0.289,0.007,0.9895555555555555
39,0.8757,27.598821999999927,9,5,0,4,0,0,0.289,0.007,0.9911111111111112
40,0.8786,27.592643899995892,9,5,0,4,0,0,0.289,0.007,0.9924444444444445
41,0.8779,28.161554199999955,9,5,0,3,0,0,0.288,0.007,0.9937777777777778
42,0.879,28.55559400000493,9,5,0,3,0,0,0.288,0.007,0.9936666666666667
43,0.8795,28.516402699999162,9,5,0,3,0,0,0.288,0.006,0.9932222222222222
44,0.8785,28.071107399999164,9,5,0,4,0,0,0.288,0.006,0.9932222222222222
45,0.8816,26.576076700002886,9,5,0,4,0,0,0.287,0.006,0.9945555555555555
46,0.8825,28.10699929999828,9,5,0,4,0,0,0.287,0.006,0.994
47,0.8851,26.30699430000095,9,5,0,3,0,0,0.287,0.006,0.9938888888888889
48,0.8834,26.984635199994955,9,5,0,3,0,0,0.287,0.006,0.994
49,0.8867,26.730404800000542,9,5,0,3,0,0,0.287,0.006,0.9956666666666667
