round,acc,t_round_s,n_malicious,asr
0,0.1755,10.946082700000261,6,0.9631111111111111
1,0.4221,10.961301899998944,6,0.11277777777777778
2,0.59,10.947913799998787,6,0.48788888888888887
3,0.6589,10.889089200001763,6,0.3521111111111111
4,0.729,10.85037150000062,6,0.5466666666666666
5,0.7498,10.875554300000658,6,0.5737777777777778
6,0.7647,10.868500500000664,6,0.6572222222222223
7,0.7561,10.933222200001183,6,0.748
8,0.7836,10.746494499999244,6,0.8033333333333333
9,0.7897,10.87464899999759,6,0.8764444444444445
10,0.7937,10.894899799997802,6,0.9093333333333333
11,0.8011,10.859896199999639,6,0.9401111111111111
12,0.7918,10.919925700000022,6,0.9394444444444444
13,0.8134,10.864368399998057,6,0.9491111111111111
14,0.8163,10.89455850000013,6,0.9596666666666667
15,0.8214,10.959458699999232,6,0.9621111111111111
16,0.8259,10.90368429999944,6,0.9743333333333334
17,0.8291,10.943473499999527,6,0.976
18,0.83,10.86621699999887,6,0.9775555555555555
19,0.8339,10.899358099999517,6,0.9805555555555555
20,0.8361,10.949211999999534,6,0.982
21,0.8391,10.91268300000229,6,0.9846666666666667
22,0.8412,10.83708839999963,6,0.987
23,0.8438,10.854074700000638,6,0.9898888888888889
24,0.8475,10.925033399998938,6,0.9924444444444445
25,0.8466,10.72459859999799,6,0.9915555555555555
26,0.8466,10.986351999999897,6,0.9923333333333333
27,0.841,10.918262099999993,6,0.9903333333333333
28,0.8519,10.882671300001675,6,0.9921111111111112
29,0.8522,10.93779369999902,6,0.9896666666666667
30,0.8529,10.891332799998054,6,0.992
31,0.8549,10.727610200003255,6,0.9925555555555555
32,0.8552,10.88858590000018,6,0.9935555555555555
33,0.8571,10.939622200003214,6,0.9945555555555555
34,0.8575,10.89249220000056,6,0.9957777777777778
35,0.859,10.88869110000087,6,0.9951111111111111
36,0.8597,10.878218099998776,6,0.9964444444444445
37,0.8598,10.874859999999899,6,0.9932222222222222
38,0.8611,10.836296699999366,6,0.9972222222222222
39,0.8621,10.895032600001286,6,0.9954444444444445
40,0.8635,10.928357900000265,6,0.9952222222222222
41,0.8655,10.9548584999975,6,0.9966666666666667
42,0.8655,10.937891699999454,6,0.9946666666666667
43,0.8651,10.993690599996626,6,0.9967777777777778
44,0.8665,10.88242060000266,6,0.9958888888888889
45,0.8662,10.920469699998648,6,0.9967777777777778
46,0.8679,10.93344679999791,6,0.9967777777777778
47,0.8703,10.927781700000196,6,0.996
48,0.8699,10.898535000000265,6,0.996
49,0.8706,10.979128299997683,6,0.9976666666666667
