round,acc,t_round_s,n_malicious,asr
0,0.4181,10.221514699995168,6,0.43333333333333335
1,0.5775,10.417214100001729,6,0.09355555555555556
2,0.7083,10.323332600004505,6,0.3695555555555556
3,0.7162,10.485338099999353,6,0.408
4,0.7493,10.34183249999478,6,0.6625555555555556
5,0.7595,10.324132700014161,6,0.7975555555555556
6,0.7716,10.319192800001474,6,0.8441111111111111
7,0.7796,10.188149599998724,6,0.8884444444444445
8,0.7888,10.362137099989923,6,0.9022222222222223
9,0.7957,10.167001599998912,6,0.9185555555555556
10,0.7983,10.295370100007858,6,0.9277777777777778
11,0.807,10.180926399989403,6,0.94
12,0.8117,10.192518399999244,6,0.9293333333333333
13,0.8192,10.35805260000052,6,0.9418888888888889
14,0.8183,10.297047399988514,6,0.9477777777777778
15,0.8235,10.285748299997067,6,0.9512222222222222
16,0.8276,10.242804300010903,6,0.9537777777777777
17,0.8323,10.310649099992588,6,0.9586666666666667
18,0.8348,10.16333169999416,6,0.9603333333333334
19,0.8361,10.374496800010093,6,0.9616666666666667
20,0.8392,10.18980079999892,6,0.9655555555555555
21,0.8417,10.181673300001421,6,0.9641111111111111
22,0.8426,10.359013799999957,6,0.9694444444444444
23,0.8467,10.22035559998767,6,0.9725555555555555
24,0.8516,10.282913400005782,6,0.9791111111111112
25,0.8488,10.18124330000137,6,0.9766666666666667
26,0.8523,10.155535099998815,6,0.9793333333333333
27,0.8539,10.249578100003419,6,0.9785555555555555
28,0.8561,10.188925299997209,6,0.9797777777777777
29,0.8595,10.45856189999904,6,0.9765555555555555
30,0.8571,10.12303209998936,6,0.9793333333333333
31,0.8605,10.104543399997056,6,0.9798888888888889
32,0.8584,10.24861549999332,6,0.9834444444444445
33,0.8628,10.075927500001853,6,0.9817777777777777
34,0.863,10.2471477999934,6,0.9842222222222222
35,0.8641,10.479106300001149,6,0.9836666666666667
36,0.8645,10.387964299996383,6,0.9835555555555555
37,0.8651,10.169676299992716,6,0.9817777777777777
38,0.8676,10.289223700005095,6,0.9871111111111112
39,0.867,10.31053050000628,6,0.9858888888888889
40,0.8675,10.303260700005922,6,0.9845555555555555
41,0.869,10.305893199998536,6,0.9887777777777778
42,0.8687,10.069132200005697,6,0.9854444444444445
43,0.8713,10.348670700012008,6,0.9897777777777778
44,0.8731,10.162169899995206,6,0.9898888888888889
45,0.8728,10.304972399986582,6,0.99
46,0.8746,10.30782669999462,6,0.991
47,0.8725,10.221294300004956,6,0.9904444444444445
48,0.8749,10.479158299989649,6,0.9911111111111112
49,0.8767,10.560326399994665,6,0.9918888888888889
