round,acc,t_round_s,n_malicious,asr
0,0.1985,11.106597900000452,6,0.8755555555555555
1,0.5961,11.580348300000878,6,0.026111111111111113
2,0.6963,11.899071599999843,6,0.159
3,0.7363,11.011495100000502,6,0.11011111111111112
4,0.752,10.931245799999488,6,0.262
5,0.7681,10.825593900000058,6,0.436
6,0.7725,11.656503899999734,6,0.5305555555555556
7,0.7906,11.68418339999971,6,0.6742222222222222
8,0.7931,11.745441399999436,6,0.7236666666666667
9,0.8055,11.50783279999996,6,0.7794444444444445
10,0.8097,11.078364400000282,6,0.8285555555555556
11,0.8141,10.945676999999705,6,0.8632222222222222
12,0.8202,11.61542499999996,6,0.8854444444444445
13,0.8208,11.166639899999609,6,0.8911111111111111
14,0.8271,10.946624400000474,6,0.9103333333333333
15,0.831,11.620117100000243,6,0.915
16,0.8355,11.007772699999805,6,0.9293333333333333
17,0.841,11.626417199999196,6,0.9317777777777778
18,0.8363,12.372451799999908,6,0.9376666666666666
19,0.8441,11.888840200000232,6,0.9444444444444444
20,0.8451,11.091369400000076,6,0.9488888888888889
21,0.8494,11.125977599999715,6,0.9555555555555556
22,0.8503,11.349615299999641,6,0.9605555555555556
23,0.853,11.099289400000089,6,0.9567777777777777
24,0.8526,11.05978369999957,6,0.9695555555555555
25,0.8576,10.584821700000248,6,0.9664444444444444
26,0.8581,10.909849399999985,6,0.9708888888888889
27,0.8567,10.734563600000001,6,0.9667777777777777
28,0.8599,11.018413800000417,6,0.9714444444444444
29,0.8575,10.789267000000109,6,0.971
30,0.8634,11.141101799999888,6,0.974
31,0.8629,11.207407099999728,6,0.9771111111111112
32,0.8626,10.966880800000581,6,0.9764444444444444
33,0.868,11.398198500000035,6,0.9813333333333333
34,0.8681,11.137711999999738,6,0.9792222222222222
35,0.8691,11.492487999999867,6,0.9817777777777777
36,0.8698,11.205516200000602,6,0.9815555555555555
37,0.8699,11.662112300000445,6,0.9846666666666667
38,0.8724,11.886941599999773,6,0.9865555555555555
39,0.8734,11.592432400000689,6,0.9863333333333333
40,0.8742,10.929400500000156,6,0.9885555555555555
41,0.874,11.531787500000064,6,0.9871111111111112
42,0.877,10.769687900000463,6,0.9884444444444445
43,0.8782,11.2412475000001,6,0.9893333333333333
44,0.8795,10.957787100000132,6,0.9897777777777778
45,0.8782,11.33472139999958,6,0.9897777777777778
46,0.8795,11.181383000000096,6,0.9904444444444445
47,0.8802,11.323645100000249,6,0.9906666666666667
48,0.8816,11.942056599999887,6,0.9912222222222222
49,0.8814,11.280572699999539,6,0.992
