round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.4015,9.794880000001285,3,0,0,3,9,3,1.0,0.889,0.059333333333333335
1,0.6463,9.760497400000531,3,0,0,2,7,2,1.0,0.778,0.017333333333333333
2,0.6624,10.075527099999817,3,0,0,3,4,3,1.0,0.63,0.049555555555555554
3,0.7423,10.180760100000043,3,0,0,3,5,3,1.0,0.583,0.03777777777777778
4,0.7648,9.91483000000153,3,3,7,3,3,3,1.0,0.511,0.03677777777777778
5,0.7836,7.192099300000336,3,3,7,0,0,0,1.0,0.46,0.035111111111111114
6,0.79,7.379960399999618,3,3,7,0,0,0,1.0,0.424,0.04077777777777778
7,0.7928,7.591595699999743,3,3,7,0,0,0,1.0,0.397,0.029555555555555557
8,0.7878,7.222781700000269,3,3,7,0,1,0,1.0,0.388,0.04466666666666667
9,0.8065,7.536484599999312,3,3,7,0,1,0,1.0,0.381,0.035333333333333335
10,0.8067,7.561665500001254,3,3,7,0,0,0,1.0,0.366,0.03877777777777778
11,0.8153,7.132076100000631,3,3,7,0,1,0,1.0,0.362,0.03411111111111111
12,0.8036,7.177917900000466,3,3,7,0,1,0,1.0,0.358,0.036555555555555556
13,0.8262,8.085879000000205,3,3,7,0,0,0,1.0,0.348,0.042666666666666665
14,0.8288,7.6581898000004,3,3,7,0,0,0,1.0,0.338,0.03977777777777778
15,0.8222,6.90411259999928,3,3,7,0,0,0,1.0,0.33,0.03711111111111111
16,0.8296,7.455941600001097,3,3,7,0,0,0,1.0,0.323,0.04055555555555555
17,0.8323,7.358272100000249,3,3,7,0,0,0,1.0,0.316,0.03833333333333333
18,0.8345,7.351885399999446,3,3,7,0,0,0,1.0,0.311,0.037
19,0.8448,7.5205614999995305,3,3,7,0,0,0,1.0,0.306,0.03866666666666667
20,0.8457,7.477493299998969,3,3,7,0,0,0,1.0,0.301,0.036333333333333336
21,0.8463,7.178662600001189,3,3,7,0,0,0,1.0,0.297,0.036555555555555556
22,0.8523,7.686720499999865,3,3,7,0,0,0,1.0,0.293,0.036333333333333336
23,0.8538,8.16413570000077,3,3,7,0,0,0,1.0,0.289,0.034888888888888886
24,0.8523,7.791872100000546,3,3,7,0,0,0,1.0,0.286,0.042888888888888886
25,0.855,7.73854670000037,3,3,7,0,0,0,1.0,0.283,0.02811111111111111
26,0.8565,7.45503380000082,3,3,7,0,0,0,1.0,0.28,0.037
27,0.8629,7.427570500000002,3,3,7,0,0,0,1.0,0.278,0.034
28,0.8602,7.653409200000169,3,3,7,0,0,0,1.0,0.275,0.036333333333333336
29,0.8576,7.464623800000481,3,3,7,0,0,0,1.0,0.273,0.03666666666666667
30,0.8642,7.394751600000745,3,3,7,0,0,0,1.0,0.271,0.030444444444444444
31,0.8619,7.457270299999436,3,3,7,0,1,0,1.0,0.272,0.03266666666666666
32,0.8615,7.772280599998339,3,3,7,0,0,0,1.0,0.27,0.041444444444444443
33,0.8679,7.537447300001077,3,3,7,0,0,0,1.0,0.268,0.03188888888888889
34,0.868,7.847189199999775,3,3,7,0,0,0,1.0,0.267,0.03833333333333333
35,0.8695,7.91227710000021,3,3,7,0,0,0,1.0,0.265,0.03611111111111111
36,0.8709,7.898237600000357,3,3,7,0,0,0,1.0,0.263,0.03144444444444444
37,0.8666,7.489230699999098,3,3,7,0,0,0,1.0,0.262,0.035444444444444445
38,0.8737,7.394664599998578,3,3,7,0,0,0,1.0,0.261,0.035222222222222224
39,0.8732,7.347068600000057,3,3,7,0,0,0,1.0,0.259,0.029111111111111112
40,0.8744,7.345989299999928,3,3,7,0,0,0,1.0,0.258,0.030444444444444444
41,0.8757,7.4369029000008595,3,3,7,0,1,0,1.0,0.259,0.021111111111111112
42,0.8679,7.147508599999128,3,3,7,0,0,0,1.0,0.258,0.044333333333333336
43,0.8653,7.722375399998782,3,3,7,0,1,0,1.0,0.26,0.034555555555555555
44,0.8756,7.460326599999462,3,3,7,0,0,0,1.0,0.258,0.03588888888888889
45,0.874,7.501910799999678,3,3,7,0,0,0,1.0,0.257,0.03333333333333333
46,0.879,7.656156199998804,3,3,7,0,0,0,1.0,0.256,0.03311111111111111
47,0.8771,7.466418600000907,3,3,7,0,0,0,1.0,0.255,0.035111111111111114
48,0.8777,7.468543000000864,3,3,7,0,0,0,1.0,0.254,0.02688888888888889
49,0.8808,7.350576900000306,3,3,7,0,0,0,1.0,0.253,0.027777777777777776
