round,acc,t_round_s,n_malicious,asr
0,0.1959,11.672485200000665,9,1.0
1,0.5528,11.664659000001848,9,0.37555555555555553
2,0.6919,12.225129200000083,9,0.8205555555555556
3,0.7117,12.281227899999067,9,0.9148888888888889
4,0.7462,11.536567999999534,9,0.9466666666666667
5,0.7483,11.620537200000399,9,0.9614444444444444
6,0.7629,11.694335899999714,9,0.975
7,0.7701,11.914036000001943,9,0.9806666666666667
8,0.7775,11.99539200000072,9,0.9844444444444445
9,0.7855,11.48237159999917,9,0.9861111111111112
10,0.7879,11.582556000001205,9,0.9891111111111112
11,0.7959,11.676022499999817,9,0.9911111111111112
12,0.798,11.937197799998103,9,0.9903333333333333
13,0.806,12.43627750000087,9,0.9915555555555555
14,0.8057,11.637864700001955,9,0.9925555555555555
15,0.8117,11.842785100001493,9,0.9938888888888889
16,0.817,11.703934600001958,9,0.994
17,0.8206,12.01734949999809,9,0.9947777777777778
18,0.8199,12.686258999998245,9,0.9953333333333333
19,0.8277,11.924554400000488,9,0.9962222222222222
20,0.8267,11.800475599997299,9,0.9961111111111111
21,0.8309,11.91344769999705,9,0.9961111111111111
22,0.8323,12.08983150000131,9,0.9965555555555555
23,0.8345,12.647464599998784,9,0.9968888888888889
24,0.8405,11.85277920000226,9,0.9975555555555555
25,0.838,11.902167799999006,9,0.9972222222222222
26,0.8413,12.838302100000874,9,0.9976666666666667
27,0.8419,12.723197399998753,9,0.9974444444444445
28,0.8461,13.123950299999706,9,0.9968888888888889
29,0.8477,11.700798400001077,9,0.9968888888888889
30,0.846,11.650590800003556,9,0.997
31,0.8511,11.976505300001008,9,0.9973333333333333
32,0.8499,12.29902310000034,9,0.9973333333333333
33,0.8556,12.56238569999914,9,0.998
34,0.8509,12.086857000002055,9,0.9974444444444445
35,0.8555,12.162953099999868,9,0.9982222222222222
36,0.8561,12.371506599996792,9,0.9983333333333333
37,0.8574,12.120462700000644,9,0.9983333333333333
38,0.8589,12.42923090000113,9,0.9985555555555555
39,0.8581,12.394279100000858,9,0.9985555555555555
40,0.8598,12.530465199997707,9,0.9984444444444445
41,0.8615,12.444066899999598,9,0.9994444444444445
42,0.8626,12.53891350000049,9,0.9985555555555555
43,0.8633,12.515403199999128,9,0.9991111111111111
44,0.8677,12.211965299997246,9,0.9994444444444445
45,0.8671,12.430410900000425,9,0.9994444444444445
46,0.8676,12.229612400002225,9,0.9993333333333333
47,0.8665,12.559167600000364,9,0.9993333333333333
48,0.8688,12.45645919999879,9,0.9994444444444445
49,0.8692,12.016539399999601,9,0.9993333333333333
