round,acc,t_round_s,n_malicious
0,0.2988,25.42121010000119,9
1,0.4254,25.745182600003318,9
2,0.5888,25.45400199999858,9
3,0.6451,28.28735049998795,9
4,0.6844,28.416973899991717,9
5,0.7028,28.716820900008315,9
6,0.7357,28.409027700006845,9
7,0.7431,28.947228999997606,9
8,0.7652,28.647492100004456,9
9,0.7656,28.580457399992156,9
10,0.7772,28.887724900007015,9
11,0.771,29.054667699994752,9
12,0.7849,28.798264500001096,9
13,0.7986,29.121285200002603,9
14,0.7938,28.656551899999613,9
15,0.8051,28.837640500001726,9
16,0.8089,28.53704049999942,9
17,0.8054,28.148006500006886,9
18,0.8101,28.46722619999491,9
19,0.8202,28.38855329999933,9
20,0.8047,28.601673500001198,9
21,0.8279,29.058577000003424,9
22,0.8191,28.745054200000595,9
23,0.8303,28.519331900010002,9
24,0.8237,29.074669900001027,9
25,0.8293,28.719741299995803,9
26,0.8283,29.09061010000005,9
27,0.8372,28.86969350000436,9
28,0.8368,28.595404699997744,9
29,0.8446,28.916324899997562,9
30,0.8304,28.465024000004632,9
31,0.8434,28.50760870000522,9
32,0.8425,28.583433000007062,9
33,0.8454,28.895332000000053,9
34,0.8533,28.478290700004436,9
35,0.842,28.392968599990127,9
36,0.8517,28.316641899989918,9
37,0.8482,28.53764800001227,9
38,0.8551,28.50079740000365,9
39,0.8582,28.767576800004463,9
40,0.8534,29.229062099999283,9
41,0.8522,28.74887399999716,9
42,0.8594,28.708878600009484,9
43,0.8541,28.45068799999717,9
44,0.8485,28.405428199999733,9
45,0.8582,28.608864800000447,9
46,0.8545,28.349590500001796,9
47,0.8619,28.69230599999719,9
48,0.864,28.73035019999952,9
49,0.8572,28.634312900001532,9
