round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.5538,32.816149499994935,6,0,0
1,0.6957,31.905219299995224,6,1,0
2,0.723,32.74475349999557,6,4,0
3,0.7484,28.556975300001795,6,6,0
4,0.7666,28.690806400001748,6,6,0
5,0.7672,26.681164100009482,6,6,0
6,0.7869,26.79468169999018,6,6,0
7,0.7913,26.813968799993745,6,6,0
8,0.802,26.340104899994913,6,6,1
9,0.8028,25.67791959999886,6,6,1
10,0.8178,29.555183800010127,6,6,1
11,0.8127,30.211555899993982,6,6,1
12,0.8218,27.39915500000643,6,6,1
13,0.8258,27.853767799999332,6,6,1
14,0.8333,28.180389900007867,6,6,1
15,0.8346,26.941125800003647,6,6,1
16,0.8393,26.25493589999678,6,6,1
17,0.8367,26.474880499998108,6,6,1
18,0.8458,26.263109499996062,6,6,1
19,0.8479,26.925801400007913,6,6,1
20,0.8472,27.069543500008876,6,6,1
21,0.8482,26.635817100002896,6,6,1
22,0.8549,31.05623659999401,6,6,1
23,0.8584,30.136188999997103,6,6,1
24,0.8546,29.176292100004503,6,6,1
25,0.8606,29.878961499998695,6,6,1
26,0.8618,28.506918099999893,6,6,1
27,0.8621,26.805982599995332,6,6,1
28,0.8647,27.297817500002566,6,6,1
29,0.8683,28.16187369999534,6,6,1
