round,acc,t_round_s,n_malicious
0,0.1,30.043537799996557,9
1,0.1,29.40967069999897,9
2,0.1,31.882411700004013,9
3,0.1012,31.073745900008362,9
4,0.1128,30.03088839999691,9
5,0.1428,30.83027820001007,9
6,0.1582,26.851115100012976,9
7,0.2465,27.672459499997785,9
8,0.284,27.301870700001018,9
9,0.3203,27.278111100007663,9
10,0.3539,27.2495581000112,9
11,0.3776,27.099968499998795,9
12,0.4084,27.167095800003153,9
13,0.4474,27.69320609999704,9
14,0.4714,27.26983070001006,9
15,0.503,27.204379699993297,9
16,0.5494,27.468531099992106,9
17,0.5834,27.950612199987518,9
18,0.6156,27.017086899999413,9
19,0.6513,27.159628100009286,9
20,0.6664,27.325978799999575,9
21,0.6825,26.87666100000206,9
22,0.6887,27.29495099998894,9
23,0.7017,27.098200699998415,9
24,0.715,27.207787599996664,9
25,0.713,27.111785600005533,9
26,0.7128,27.104675100010354,9
27,0.7348,26.942781699995976,9
28,0.7446,26.970412700000452,9
29,0.7438,27.06857280000986,9
