round,acc,t_round_s,n_malicious
0,0.2198,10.28465259999939,9
1,0.5733,10.891459600003145,9
2,0.6589,10.347717799995735,9
3,0.7024,10.51706479999848,9
4,0.712,10.299280699997325,9
5,0.7356,10.760333099999116,9
6,0.658,9.927124599998933,9
7,0.7713,10.459639900000184,9
8,0.6176,10.723853999996209,9
9,0.7832,10.282422500000393,9
10,0.6081,10.72305910000432,9
11,0.7967,10.134880700003123,9
12,0.6216,10.632040899996355,9
13,0.8032,10.248595299999579,9
14,0.6323,10.498819699998421,9
15,0.79,10.34670339999866,9
16,0.6571,10.195901900005993,9
17,0.7877,10.609750900002837,9
18,0.6477,10.115627400002268,9
19,0.7906,10.84750239999994,9
20,0.6643,10.616774100002658,9
21,0.8001,11.172217200000887,9
22,0.6775,10.552036799999769,9
23,0.7877,10.833668400002352,9
24,0.6669,10.895673600003647,9
25,0.7812,10.890172899999015,9
26,0.6471,10.752301300002728,9
27,0.8289,10.58240300000034,9
28,0.5927,10.548226799997792,9
29,0.8472,10.61501049999788,9
30,0.219,10.518365099997027,9
31,0.8537,10.516101799999888,9
32,0.6557,10.748646000000008,9
33,0.8567,10.904841899995517,9
34,0.4697,10.848699299996952,9
35,0.8586,10.580640499996662,9
36,0.6005,10.69296029999532,9
37,0.861,10.459840700001223,9
38,0.4783,10.64784000000509,9
39,0.8636,10.112405599997146,9
40,0.5819,10.361407700002019,9
41,0.8653,10.321868999999424,9
42,0.5136,10.491917400002421,9
43,0.8686,10.292625999994925,9
44,0.534,10.382203300003312,9
45,0.8722,10.493667900002038,9
46,0.5132,10.577228499998455,9
47,0.8728,10.52369650000037,9
48,0.5037,10.60271769999963,9
49,0.8746,10.497759199999564,9
