round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.2966,27.488056999998662,9,0,0,6,6,6,0.0,0.0
1,0.5153,27.50066699999843,9,0,0,7,8,7,0.0,0.0
2,0.6424,27.30897670000013,9,0,0,7,8,7,0.0,0.0
3,0.7314,27.7256696000004,9,0,0,5,6,5,0.25,0.048
4,0.7586,28.776254500000505,9,0,0,6,7,6,0.4,0.095
5,0.7597,27.499894999999015,9,9,1,6,6,6,0.5,0.111
6,0.7754,20.594370799999524,9,9,1,0,1,0,0.5,0.105
7,0.7956,19.30971529999988,9,9,2,0,1,0,0.5,0.101
8,0.7913,18.158120199999757,9,9,2,0,0,0,0.5,0.095
9,0.8051,18.017295699999522,9,9,2,0,0,0,0.5,0.09
10,0.8128,17.57925030000115,9,9,2,0,0,0,0.5,0.087
11,0.8165,17.87804479999977,9,9,2,0,0,0,0.5,0.083
12,0.8195,17.66270110000005,9,9,2,0,0,0,0.5,0.081
13,0.8173,17.89142940000056,9,9,2,0,1,0,0.5,0.078
14,0.8209,17.90240509999967,9,9,2,0,1,0,0.5,0.076
15,0.8315,18.026256099999955,9,9,2,0,0,0,0.5,0.074
16,0.8338,17.869607599999654,9,9,2,0,0,0,0.5,0.073
17,0.8353,17.53288639999846,9,9,2,0,0,0,0.5,0.071
18,0.8401,18.02721979999842,9,9,2,0,0,0,0.5,0.07
19,0.8444,17.987533800000165,9,9,2,0,0,0,0.5,0.069
20,0.848,17.496452299999874,9,9,2,0,0,0,0.5,0.068
21,0.8447,17.9460997999995,9,9,2,0,0,0,0.5,0.067
22,0.8489,18.03318170000057,9,9,2,0,0,0,0.5,0.066
23,0.8492,17.86941409999963,9,9,2,0,0,0,0.5,0.065
24,0.8538,18.051278700000694,9,9,2,0,0,0,0.5,0.065
25,0.8544,17.644248499998866,9,9,2,0,0,0,0.5,0.064
26,0.8571,18.07022649999999,9,9,2,0,0,0,0.5,0.063
27,0.8559,18.140686099999584,9,9,2,0,0,0,0.5,0.063
28,0.8632,17.895898200000374,9,9,2,0,0,0,0.5,0.062
29,0.8623,18.225000999998883,9,9,2,0,0,0,0.5,0.062
30,0.8609,17.813556499999322,9,9,2,0,0,0,0.5,0.061
31,0.864,18.037781899998663,9,9,2,0,0,0,0.5,0.061
32,0.8659,18.020027999999,9,9,2,0,0,0,0.5,0.061
33,0.8652,17.918400000000474,9,9,2,0,0,0,0.5,0.06
34,0.8673,18.036698400001114,9,9,2,0,0,0,0.5,0.06
35,0.8689,18.12196009999934,9,9,2,0,0,0,0.5,0.06
36,0.8712,18.229842599999756,9,9,2,0,0,0,0.5,0.059
37,0.871,18.203550399999585,9,9,2,0,0,0,0.5,0.059
38,0.8725,17.746103599998605,9,9,2,0,0,0,0.5,0.059
39,0.8735,18.11742779999986,9,9,2,0,0,0,0.5,0.058
40,0.8727,18.06066859999919,9,9,2,0,0,0,0.5,0.058
41,0.8743,17.95584299999973,9,9,2,0,0,0,0.5,0.058
42,0.8754,18.165556200001447,9,9,2,0,0,0,0.5,0.058
43,0.8763,17.901005199999418,9,9,2,0,0,0,0.5,0.057
44,0.8767,18.032151800000065,9,9,2,0,0,0,0.5,0.057
45,0.8787,18.213556000000608,9,9,2,0,0,0,0.5,0.057
46,0.8772,18.00310089999948,9,9,2,0,0,0,0.5,0.057
47,0.8818,17.82610619999832,9,9,2,0,0,0,0.5,0.057
48,0.8762,18.04001790000075,9,9,2,0,0,0,0.5,0.056
49,0.8841,18.33071800000107,9,9,2,0,0,0,0.5,0.056
