round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.4399,10.1399179,3,0,0,3,0,0,0.0,0.0
1,0.6551,9.761843600001157,3,0,0,2,0,0,0.0,0.0
2,0.659,10.107562999997754,3,0,0,3,0,0,0.0,0.0
3,0.7316,10.265220900000713,3,0,0,3,0,0,0.0,0.0
4,0.7442,10.046544600001653,3,0,0,3,0,0,0.0,0.0
5,0.776,10.244449699999677,3,0,0,3,0,0,0.0,0.0
6,0.7768,9.198061000002781,3,0,0,2,1,1,0.0,0.0
7,0.7876,10.412414500002342,3,0,0,3,0,0,0.0,0.0
8,0.7951,9.860592199998791,3,0,0,3,3,3,0.0,0.0
9,0.7831,10.198066799999651,3,0,0,3,0,0,0.0,0.0
10,0.7986,10.03308140000081,3,0,0,3,3,3,0.0,0.0
11,0.802,9.488705399999162,3,0,0,3,0,0,0.0,0.0
12,0.8085,10.564995600001566,3,0,0,3,3,3,0.0,0.0
13,0.8164,9.928519299999607,3,0,0,2,0,0,0.0,0.0
14,0.8196,10.186723799997708,3,0,0,2,2,2,0.0,0.0
15,0.8211,9.79229789999954,3,0,0,3,0,0,0.0,0.0
16,0.831,9.692113799999788,3,0,0,2,2,2,0.0,0.0
17,0.8283,10.051562799999374,3,0,0,3,0,0,0.0,0.0
18,0.8205,10.105766100001347,3,0,0,3,3,3,0.0,0.0
19,0.8392,9.795606299998326,3,0,0,3,0,0,0.0,0.0
20,0.8298,10.074571299999661,3,0,0,2,2,2,0.0,0.0
21,0.8435,9.825975700001436,3,0,0,3,0,0,0.0,0.0
22,0.8441,10.251674999999523,3,0,0,2,2,2,0.0,0.0
23,0.8505,9.86750590000156,3,0,0,3,0,0,0.0,0.0
24,0.8506,9.79223710000224,3,0,0,3,3,3,0.0,0.0
25,0.8557,10.362842500002444,3,0,0,3,0,0,0.0,0.0
26,0.8498,9.446495899999718,3,0,0,3,3,3,0.0,0.0
27,0.8571,10.710802600002353,3,0,0,2,0,0,0.0,0.0
28,0.8551,9.44799409999905,3,0,0,2,2,2,0.0,0.0
29,0.8572,9.993111600000702,3,0,0,3,1,0,0.0,0.0
30,0.8515,10.285240899997007,3,0,0,3,3,3,0.0,0.0
31,0.8665,9.521070200000395,3,0,0,3,0,0,0.0,0.0
32,0.8658,10.334926399998949,3,0,0,3,3,3,0.0,0.0
33,0.8632,9.610843400001613,3,0,0,2,0,0,0.0,0.0
34,0.8648,10.054647299999488,3,0,0,3,3,3,0.0,0.0
35,0.8653,10.320736400000897,3,0,0,3,0,0,0.0,0.0
36,0.862,9.589587000002211,3,0,0,3,3,3,0.0,0.0
37,0.8697,10.331550299997616,3,0,0,2,1,0,0.0,0.0
38,0.8615,9.658584900000278,3,0,0,3,3,3,0.0,0.0
39,0.8694,10.162771399998746,3,0,0,2,1,0,0.0,0.0
40,0.8672,10.130270999998174,3,0,0,3,3,3,0.0,0.0
41,0.8724,9.79922649999935,3,0,0,3,0,0,0.0,0.0
42,0.8709,10.016028300000471,3,0,0,2,2,2,0.0,0.0
43,0.8733,9.66006489999927,3,0,0,3,0,0,0.0,0.0
44,0.8764,9.960636399999203,3,0,0,3,3,3,0.0,0.0
45,0.8718,10.019087900000159,3,0,0,3,1,0,0.0,0.0
46,0.8742,9.671611199999461,3,0,0,2,2,2,0.0,0.0
47,0.878,10.088339100002486,3,0,0,3,0,0,0.0,0.0
48,0.8773,9.730208499997389,3,0,0,2,2,2,0.0,0.0
49,0.8725,9.82867559999795,3,0,0,3,1,0,0.0,0.0
