round,acc,t_round_s,n_malicious
0,0.2866,12.723728600001778,3
1,0.5488,12.74609259999852,3
2,0.6713,12.730291899999429,3
3,0.7129,12.633701999999175,3
4,0.7672,12.759266999997635,3
5,0.7769,12.681038500002614,3
6,0.7927,12.744432600000437,3
7,0.8003,12.765325700001995,3
8,0.7928,12.749587800000882,3
9,0.8191,12.761389900002541,3
10,0.827,12.703252400002384,3
11,0.8305,12.725290999998833,3
12,0.8381,12.73428690000219,3
13,0.8348,12.765247600000293,3
14,0.8457,12.738132500002393,3
15,0.8441,12.65284519999841,3
16,0.8313,12.719699400000536,3
17,0.8424,12.722227800000837,3
18,0.844,12.777950900002907,3
19,0.8459,12.797379999999976,3
20,0.8481,12.789237799999682,3
21,0.863,12.704927899998438,3
22,0.8436,12.701882900000783,3
23,0.8541,12.708978899998328,3
24,0.8658,12.847336999999243,3
25,0.8676,12.812364199999138,3
26,0.8681,12.597234100001515,3
27,0.8672,12.773191100000986,3
28,0.8688,12.814569999998639,3
29,0.8714,12.747237899999163,3
30,0.8712,12.786568999999872,3
31,0.8701,12.819490900001256,3
32,0.8736,12.772078999998485,3
33,0.8729,12.822602399999596,3
34,0.8736,12.715896300000168,3
35,0.8772,12.705778899999132,3
36,0.874,12.766356600001018,3
37,0.877,12.57999469999777,3
38,0.8768,12.75710810000237,3
39,0.8778,12.679102400001284,3
40,0.8722,12.698636399996758,3
41,0.8734,12.773963799998455,3
42,0.8753,12.764649400000053,3
43,0.8809,12.757194199999503,3
44,0.8743,12.753360400001839,3
45,0.8792,12.770657299999584,3
46,0.874,12.701688099998137,3
47,0.8778,12.706865000000107,3
48,0.8761,12.69123319999926,3
49,0.8793,12.647090099999332,3
