round,acc,t_round_s,n_malicious
0,0.3656,8.727600999998685,6
1,0.6754,8.526558500001556,6
2,0.6064,8.602066500003275,6
3,0.7263,8.531302999996115,6
4,0.6597,8.670637400005944,6
5,0.767,9.033563299999514,6
6,0.672,8.72339379999903,6
7,0.7844,8.665937500001746,6
8,0.6645,8.677657899999758,6
9,0.7992,8.621902300001238,6
10,0.6618,8.55573749999894,6
11,0.8117,8.647086400000262,6
12,0.6101,8.659285900001123,6
13,0.8212,8.534636300006241,6
14,0.5874,8.517892999996548,6
15,0.8279,8.69411250000121,6
16,0.6496,8.502328800001123,6
17,0.839,8.575198800004728,6
18,0.6395,8.664487299996836,6
19,0.8451,8.6225573000047,6
20,0.6698,8.535391899997194,6
21,0.8475,8.564649899999495,6
22,0.6561,8.633282100003271,6
23,0.8505,8.672498200001428,6
24,0.65,8.672360700002173,6
25,0.8545,8.647879299998749,6
26,0.665,8.668729500001064,6
27,0.8563,8.531401000000187,6
28,0.6864,8.516039699999965,6
29,0.8596,8.606276700003946,6
30,0.6559,8.650582399997802,6
31,0.8625,8.649002500002098,6
32,0.6961,8.640976700000465,6
33,0.864,8.738919600000372,6
34,0.6444,8.590304400000605,6
35,0.8659,8.600524000001315,6
36,0.6776,8.517104999998992,6
37,0.8675,8.535599599999841,6
38,0.7033,8.642860300002212,6
39,0.8706,8.673833999993803,6
40,0.7076,8.709595100001025,6
41,0.8711,8.525507500002277,6
42,0.6855,8.507092500003637,6
43,0.8748,8.575705399998697,6
44,0.6463,8.486805399996229,6
45,0.8769,8.505374300002586,6
46,0.6999,8.729055199997674,6
47,0.8771,8.660045899996476,6
48,0.6545,8.535109700002067,6
49,0.8785,8.568285299996205,6
