round,acc,t_round_s,n_malicious
0,0.2524,29.769126700004563,3
1,0.6554,29.59040039998945,3
2,0.7148,30.582330199991702,3
3,0.7388,29.259558499994455,3
4,0.7536,27.876593900000444,3
5,0.765,28.25838620000286,3
6,0.7729,27.390760099995532,3
7,0.7846,26.6980060999922,3
8,0.7858,28.04945289999887,3
9,0.7992,27.715244500010158,3
10,0.7975,30.297896200005198,3
11,0.8112,29.496566299989354,3
12,0.8106,30.120604299998377,3
13,0.8151,27.769198100009817,3
14,0.8209,29.080452999987756,3
15,0.8226,28.262116400001105,3
16,0.8229,30.525361200008774,3
17,0.8333,28.6058200999978,3
18,0.8361,30.059408100001747,3
19,0.8362,26.82448550000845,3
20,0.8394,28.41218279999157,3
21,0.8427,30.234450899995863,3
22,0.848,30.087366199993994,3
23,0.8478,30.296586500000558,3
24,0.8474,27.769299500010675,3
25,0.8513,26.75994049999281,3
26,0.8522,27.23229800000263,3
27,0.8558,27.57860890000302,3
28,0.8578,26.586753399998997,3
29,0.8588,27.297815199999604,3
