round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.3085,30.742024500010302,6,0,0,5,6,4,0.833,0.542
1,0.4904,28.155134000000544,6,0,0,6,9,6,0.917,0.708
2,0.6476,29.32318840001244,6,0,0,5,8,5,0.944,0.722
3,0.7246,29.802435300007346,6,0,0,6,6,6,0.958,0.667
4,0.7585,29.967429399999673,6,6,9,5,6,5,0.967,0.633
5,0.7487,16.856992900007754,6,6,9,0,0,0,0.967,0.581
6,0.7708,17.324845600000117,6,6,9,0,1,0,0.967,0.561
7,0.7929,19.518863099990995,6,6,9,0,0,0,0.967,0.53
8,0.7865,17.290178299997933,6,6,9,0,1,0,0.967,0.52
9,0.8119,17.538646499990136,6,6,9,0,0,0,0.967,0.5
10,0.8049,16.373376100003952,6,6,9,0,0,0,0.967,0.483
11,0.8272,16.778944699995918,6,6,9,0,0,0,0.967,0.469
12,0.8281,16.88141070000711,6,6,9,0,1,0,0.967,0.467
13,0.8104,17.271286000002874,6,6,9,0,2,0,0.967,0.474
14,0.8341,16.29711529999622,6,6,9,0,1,0,0.967,0.472
15,0.8145,17.119049800006906,6,6,9,0,1,0,0.967,0.47
16,0.8442,17.843226199998753,6,6,9,0,0,0,0.967,0.461
17,0.848,16.130147299991222,6,6,9,0,1,0,0.967,0.46
18,0.8427,16.125148699997226,6,6,9,0,0,0,0.967,0.453
19,0.8525,15.916164700000081,6,6,9,0,0,0,0.967,0.446
20,0.8511,15.842766200003098,6,6,9,0,0,0,0.967,0.44
21,0.8542,15.892566099995747,6,6,9,0,0,0,0.967,0.434
22,0.8554,16.410556300004828,6,6,9,0,0,0,0.967,0.429
23,0.8573,16.48801449999155,6,6,9,0,0,0,0.967,0.424
24,0.8607,17.06536710000364,6,6,9,0,0,0,0.967,0.42
25,0.8606,16.013787800009595,6,6,9,0,0,0,0.967,0.416
26,0.8642,16.47654469999543,6,6,9,0,0,0,0.967,0.412
27,0.8633,16.120400999992853,6,6,9,0,0,0,0.967,0.409
28,0.8625,16.248965000006137,6,6,9,0,0,0,0.967,0.406
29,0.864,16.128745699999854,6,6,9,0,0,0,0.967,0.403
