round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.4016,9.683164000001852,3,0,0,3,9,3,0.0,0.0
1,0.6592,10.467414599999756,3,0,0,2,6,2,0.0,0.0
2,0.666,10.237977600001614,3,0,0,3,4,3,0.0,0.0
3,0.7196,9.731152600001224,3,0,0,3,5,3,0.25,0.046
4,0.7475,10.171700899998541,3,0,0,3,5,3,0.4,0.052
5,0.7699,10.123848800001724,3,3,1,3,4,3,0.5,0.049
6,0.773,9.004564999999275,3,3,1,0,0,0,0.5,0.045
7,0.7876,9.53792329999851,3,3,1,0,1,0,0.5,0.042
8,0.7983,8.824876599999698,3,3,1,0,0,0,0.5,0.039
9,0.7998,9.146953499999654,3,3,1,0,0,0,0.5,0.037
10,0.8038,9.441405000001396,3,3,1,0,0,0,0.5,0.035
11,0.805,9.29009710000173,3,3,1,0,0,0,0.5,0.034
12,0.8027,8.652794800000265,3,3,1,0,3,0,0.5,0.033
13,0.8106,9.216077299999597,3,3,1,0,1,0,0.5,0.032
14,0.8243,9.605321699997148,3,3,1,0,0,0,0.5,0.031
15,0.8209,8.684118500001205,3,3,1,0,1,0,0.5,0.03
16,0.8219,9.761785299997428,3,3,1,0,0,0,0.5,0.029
17,0.8262,8.794952099997317,3,3,1,0,1,0,0.5,0.029
18,0.8262,9.860448800001905,3,3,1,0,2,0,0.5,0.028
19,0.8367,9.076867499999935,3,3,1,0,0,0,0.5,0.028
20,0.8397,9.074970400000893,3,3,1,0,0,0,0.5,0.027
21,0.8399,9.322440299998561,3,3,1,0,0,0,0.5,0.027
22,0.8421,9.14174660000208,3,3,1,0,0,0,0.5,0.027
23,0.8515,8.720001100002264,3,3,1,0,0,0,0.5,0.026
24,0.851,9.053853300003539,3,3,1,0,0,0,0.5,0.026
25,0.8538,9.477061000001413,3,3,1,0,0,0,0.5,0.026
26,0.853,8.737401900001714,3,3,1,0,0,0,0.5,0.025
27,0.8529,9.542137700002058,3,3,1,0,0,0,0.5,0.025
28,0.8611,8.645224800002325,3,3,1,0,0,0,0.5,0.025
29,0.857,9.646075299999211,3,3,1,0,0,0,0.5,0.025
30,0.8621,8.826129400000355,3,3,1,0,0,0,0.5,0.024
31,0.8643,9.223905199996807,3,3,1,0,0,0,0.5,0.024
32,0.8636,8.944232500001817,3,3,1,0,0,0,0.5,0.024
33,0.8658,9.704853999999614,3,3,1,0,0,0,0.5,0.024
34,0.8692,8.626119799999287,3,3,1,0,0,0,0.5,0.024
35,0.8673,9.495999499999016,3,3,1,0,0,0,0.5,0.024
36,0.8695,8.564959600000293,3,3,1,0,0,0,0.5,0.024
37,0.8713,9.481769400001212,3,3,1,0,0,0,0.5,0.023
38,0.8689,9.165492600001016,3,3,1,0,0,0,0.5,0.023
39,0.8739,8.426274600002216,3,3,1,0,0,0,0.5,0.023
40,0.8714,9.506627099999605,3,3,1,0,0,0,0.5,0.023
41,0.8748,9.419943000000785,3,3,1,0,0,0,0.5,0.023
42,0.8729,8.675624400002562,3,3,1,0,0,0,0.5,0.023
43,0.8759,9.350690500003111,3,3,1,0,0,0,0.5,0.023
44,0.8732,9.269437599999947,3,3,1,0,0,0,0.5,0.023
45,0.8754,9.062155100000382,3,3,1,0,0,0,0.5,0.023
46,0.8772,9.32995099999971,3,3,1,0,0,0,0.5,0.022
47,0.8762,9.044022400001268,3,3,1,0,0,0,0.5,0.022
48,0.877,8.838608999998542,3,3,1,0,0,0,0.5,0.022
49,0.8777,9.36033160000079,3,3,1,0,0,0,0.5,0.022
