round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.2963,9.728573599997617,3,0,0,3,0,0,0.0,0.0
1,0.6665,9.863507100002607,3,0,0,3,0,0,0.0,0.0
2,0.7241,10.113028899999335,3,0,0,3,0,0,0.0,0.0
3,0.7409,9.43815430000177,3,0,0,3,0,0,0.0,0.0
4,0.7642,10.249198299999989,3,0,0,3,0,0,0.0,0.0
5,0.77,9.876249400000233,3,0,0,3,0,0,0.0,0.0
6,0.7808,9.899621199998364,3,0,0,3,1,1,0.048,0.011
7,0.7897,10.282410100000561,3,0,0,3,0,0,0.042,0.009
8,0.7757,9.450057500002004,3,0,0,3,3,3,0.148,0.033
9,0.7757,10.094979599998624,3,0,0,3,0,0,0.133,0.03
10,0.8034,9.82979090000299,3,0,0,3,3,3,0.212,0.047
11,0.8085,9.745686900001601,3,0,0,3,0,0,0.194,0.043
12,0.8109,10.369573600000876,3,0,0,3,3,3,0.256,0.057
13,0.815,9.57393729999967,3,0,0,3,0,0,0.238,0.053
14,0.8257,10.056799999998475,3,0,0,3,3,3,0.289,0.064
15,0.8243,9.623012299998663,3,0,0,3,0,0,0.271,0.06
16,0.8236,10.038633699998172,3,0,0,2,2,2,0.314,0.063
17,0.8331,9.693121600001177,3,0,0,3,0,0,0.296,0.06
18,0.8376,9.991675699999178,3,0,0,3,3,3,0.333,0.068
19,0.8323,9.620471800000814,3,0,0,3,0,0,0.317,0.065
20,0.8439,9.756141099998786,3,0,0,2,2,2,0.349,0.067
21,0.844,10.113365400000475,3,0,0,3,0,0,0.333,0.064
22,0.8521,9.602979700001015,3,0,0,3,3,3,0.362,0.071
23,0.8433,9.821057099998143,3,0,0,3,1,0,0.347,0.073
24,0.8462,10.039345699999103,3,0,0,2,2,2,0.373,0.074
25,0.8526,9.604571300002135,3,0,0,3,0,0,0.359,0.071
26,0.8524,9.963295800000196,3,0,0,3,3,3,0.383,0.077
27,0.8533,9.813464800001384,3,0,0,3,0,0,0.369,0.074
28,0.8574,9.70332569999664,3,0,0,3,3,3,0.391,0.079
29,0.8546,10.057024300000194,3,0,0,3,0,0,0.378,0.077
30,0.8572,9.6603849000021,3,0,0,3,3,3,0.398,0.081
31,0.86,9.659996400001546,3,0,0,3,1,0,0.385,0.082
32,0.8655,9.889926700001524,3,0,0,2,2,2,0.404,0.083
33,0.8581,9.677075000003242,3,0,0,3,1,0,0.392,0.084
34,0.8689,9.866657599999598,3,0,0,3,3,3,0.41,0.088
35,0.8652,9.874254900001688,3,0,0,2,0,0,0.398,0.085
36,0.8708,9.688863799998217,3,0,0,3,3,3,0.414,0.089
37,0.867,9.92792169999666,3,0,0,3,0,0,0.404,0.087
38,0.8726,9.575969100002112,3,0,0,3,3,3,0.419,0.09
39,0.8642,9.66867220000131,3,0,0,3,1,0,0.408,0.091
40,0.8773,10.115844099997048,3,0,0,3,3,3,0.423,0.094
41,0.869,9.671383299999434,3,0,0,3,0,0,0.413,0.092
42,0.8764,9.888184600000386,3,0,0,3,3,3,0.426,0.095
43,0.8741,10.002778799997031,3,0,0,2,0,0,0.417,0.093
44,0.8824,9.671122200001264,3,0,0,3,3,3,0.43,0.095
45,0.8738,10.026400300001114,3,0,0,3,1,0,0.42,0.096
46,0.8794,9.671707099998457,3,0,0,3,3,3,0.433,0.099
47,0.8743,9.724245800000062,3,0,0,3,1,0,0.424,0.099
48,0.883,10.108372099999542,3,0,0,3,3,3,0.435,0.101
49,0.877,9.681293600002391,3,0,0,2,1,0,0.427,0.101
