round,acc,t_round_s,n_malicious
0,0.3619,10.325988600001438,6
1,0.6655,9.990562099999806,6
2,0.6527,10.46640649999972,6
3,0.7378,9.962639899997157,6
4,0.7483,10.25389880000148,6
5,0.7624,9.952186300000903,6
6,0.7721,9.990167899999506,6
7,0.782,10.01073130000077,6
8,0.7838,10.087273599998298,6
9,0.7969,10.488689599998906,6
10,0.804,10.25586569999723,6
11,0.8103,10.133566199998313,6
12,0.816,10.095499399998516,6
13,0.8169,10.044932699998753,6
14,0.8251,10.002498699999705,6
15,0.8193,10.418918699997448,6
16,0.8298,9.966848000000027,6
17,0.8268,10.259198799998558,6
18,0.8352,10.02979570000025,6
19,0.8377,10.074966299998778,6
20,0.841,9.951232899999013,6
21,0.8407,10.374794399998791,6
22,0.8383,10.042198300001473,6
23,0.8448,10.280181699999957,6
24,0.8404,10.146855300001334,6
25,0.8446,10.01492959999814,6
26,0.8467,10.15193299999737,6
27,0.8466,10.094947300000058,6
28,0.8409,10.26974540000083,6
29,0.8523,10.287049999998999,6
30,0.7599,9.970563500002754,6
31,0.8586,10.005697699998564,6
32,0.6978,9.942085499998939,6
33,0.8595,9.926442100000713,6
34,0.7427,10.492213000001357,6
35,0.8636,10.288542600002984,6
36,0.7493,10.015870899998845,6
37,0.8664,10.00773130000016,6
38,0.764,9.960972799999581,6
39,0.866,10.168955799999821,6
40,0.7558,10.320564400000876,6
41,0.8693,10.29504050000105,6
42,0.7823,10.68190539999705,6
43,0.8697,11.235086200002115,6
44,0.7678,11.018372999998974,6
45,0.8736,10.81494119999843,6
46,0.7546,10.317080299999361,6
47,0.8758,10.196856599999592,6
48,0.7506,9.799124299999676,6
49,0.876,9.896790700000565,6
