round,acc,t_round_s,n_malicious
0,0.3789,10.349178499978734,0
1,0.4956,9.449565999995684,0
2,0.6535,8.689465699979337,0
3,0.649,9.267905000015162,0
4,0.7146,7.524443700007396,0
5,0.7304,7.103357900021365,0
6,0.7494,8.522190599993337,0
7,0.7586,9.138339199998882,0
8,0.7761,9.191869600006612,0
9,0.7718,9.200619299983373,0
10,0.794,9.173693900025683,0
11,0.7904,9.143376599997282,0
12,0.7994,9.232220000005327,0
13,0.8049,9.170476600003894,0
14,0.8122,9.336008000012953,0
15,0.8165,9.12777749999077,0
16,0.8207,9.20704820001265,0
17,0.8176,9.115284200001042,0
18,0.8262,9.210554099990986,0
19,0.8275,9.181237699987832,0
20,0.833,9.191429400001653,0
21,0.8369,9.195537299994612,0
22,0.8357,9.225587299995823,0
23,0.8401,9.093293700017966,0
24,0.8412,9.198787199973594,0
25,0.8444,9.223293400020339,0
26,0.8519,9.230958100000862,0
27,0.8518,9.236669599980814,0
28,0.8454,9.164275699993595,0
29,0.8545,9.16941480000969,0
30,0.8545,9.172846100002062,0
31,0.8552,9.246332399983658,0
32,0.8569,9.257690700003877,0
33,0.8604,9.21904060000088,0
34,0.8589,9.130209499999182,0
35,0.8562,9.264469199988525,0
36,0.8627,9.174663499987219,0
37,0.8577,9.175470300018787,0
38,0.8577,9.207066500006476,0
39,0.8643,9.238999899971532,0
40,0.8647,9.176515500003006,0
41,0.8659,9.216606799978763,0
42,0.8654,9.150477599992882,0
43,0.8631,9.16641740000341,0
44,0.8691,9.106618999998318,0
45,0.8672,7.249362600006862,0
46,0.8716,7.085187599994242,0
47,0.8686,8.024268700013636,0
48,0.8695,9.353597500012256,0
49,0.87,9.635628599993652,0
