round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.4318,11.878619800001616,0,0,1
1,0.6751,10.151944699988235,0,0,1
2,0.7402,10.259472899982939,0,0,1
3,0.7545,10.842006299993955,0,0,2
4,0.7702,10.543853999988642,0,0,2
5,0.7799,10.579546099994332,0,0,3
6,0.786,10.132819699996617,0,0,3
7,0.7922,9.996372399997199,0,0,4
8,0.8043,9.661624300002586,0,0,4
9,0.8097,9.874145100009628,0,0,4
10,0.8113,9.870855199988,0,0,4
11,0.8176,9.911095600022236,0,0,4
12,0.8228,9.91864380001789,0,0,4
13,0.8284,9.938372800010256,0,0,4
14,0.8262,9.822605299996212,0,0,4
15,0.8369,9.799550399999134,0,0,4
16,0.8386,9.866253600019263,0,0,4
17,0.8386,9.801319799997145,0,0,4
18,0.8473,9.890835700003663,0,0,4
19,0.8468,9.945549200027017,0,0,4
20,0.8511,9.993925799994031,0,0,4
21,0.8525,9.761078299983637,0,0,5
22,0.8537,9.406582399999024,0,0,5
23,0.86,9.425505700026406,0,0,5
24,0.8598,9.48856369999703,0,0,5
25,0.862,9.49694890002138,0,0,5
26,0.8603,9.516189399990253,0,0,5
27,0.8658,9.541473900026176,0,0,5
28,0.8665,9.576461400021799,0,0,5
29,0.8689,9.450842499994906,0,0,5
30,0.8693,9.505572800000664,0,0,5
31,0.8702,9.340147200011415,0,0,5
32,0.8716,9.439202199981082,0,0,5
33,0.8744,9.527368299983209,0,0,5
34,0.8755,9.467667200020514,0,0,5
35,0.8735,9.569866000005277,0,0,5
36,0.8777,9.537568400002783,0,0,5
37,0.8789,9.431546799984062,0,0,5
38,0.8776,8.72347520000767,0,0,5
39,0.8757,8.647240799997235,0,0,5
40,0.8805,8.350322200014489,0,0,5
41,0.8816,8.08632060000673,0,0,5
42,0.8803,8.706180199980736,0,0,5
43,0.8834,7.098353500012308,0,0,5
44,0.8819,6.64659180000308,0,0,5
45,0.884,8.358489600010216,0,0,5
46,0.8826,8.736548200016841,0,0,5
47,0.8858,7.792575100000249,0,0,5
48,0.8868,8.874794700008351,0,0,5
49,0.889,9.079515299992636,0,0,5
