round,acc,t_round_s,n_malicious
0,0.3919,9.98403939997661,0
1,0.6775,9.417566599993734,0
2,0.7107,8.350001799990423,0
3,0.6758,9.076852099999087,0
4,0.7028,9.432009200012544,0
5,0.6824,9.404878300003475,0
6,0.6904,9.327195199992275,0
7,0.6882,9.370080699998653,0
8,0.7474,9.097032799996668,0
9,0.7119,8.34292270001606,0
10,0.7539,9.418373699998483,0
11,0.7078,8.594182500004536,0
12,0.7728,8.85714690000168,0
13,0.7426,8.788376899989089,0
14,0.7786,8.647545599989826,0
15,0.7588,9.431910899991635,0
16,0.7471,9.122267500002636,0
17,0.7623,8.286626200017054,0
18,0.7985,9.32271189999301,0
19,0.7606,9.29989910000586,0
20,0.8148,7.549214099999517,0
21,0.7837,8.183982499991544,0
22,0.8155,9.330599199980497,0
23,0.7763,9.354778999986593,0
24,0.8192,9.4145056999987,0
25,0.8069,9.353394600009779,0
26,0.841,9.377886500005843,0
27,0.8151,9.449177700007567,0
28,0.8346,9.406942800007528,0
29,0.8226,9.31442780001089,0
30,0.8304,9.405974699999206,0
31,0.8266,9.393077199987601,0
32,0.836,9.382028300024103,0
33,0.8243,9.35990509999101,0
34,0.8095,9.422572000010405,0
35,0.8378,9.382570300018415,0
36,0.8355,9.398021200002404,0
37,0.8188,9.39026990000275,0
38,0.839,9.415924500004621,0
39,0.8075,9.36285649999627,0
40,0.8138,9.447407700004987,0
41,0.8529,9.362275899999077,0
42,0.8326,9.409275899990462,0
43,0.8354,9.362145999999484,0
44,0.8466,9.443439599999692,0
45,0.8044,9.371909900015453,0
46,0.8537,9.36624249999295,0
47,0.8062,9.426662999991095,0
48,0.8614,9.357883499993477,0
49,0.8032,9.392040200007614,0
