round,acc,t_round_s,n_malicious
0,0.4437,10.324602699984098,0
1,0.6658,9.749854399997275,0
2,0.7339,8.869290400005411,0
3,0.7408,9.861097999993945,0
4,0.7623,9.999080799985677,0
5,0.7754,9.911497499997495,0
6,0.7846,9.883740600023884,0
7,0.7923,9.878881399985403,0
8,0.7995,9.926056099997368,0
9,0.8023,9.90211470000213,0
10,0.8155,10.012770100001944,0
11,0.8202,9.847448100015754,0
12,0.8235,9.936194500012789,0
13,0.8246,9.92659050002112,0
14,0.8324,10.038687599997502,0
15,0.8347,10.010957999998936,0
16,0.8359,9.979736400011461,0
17,0.8392,9.91117520001717,0
18,0.8425,9.988246599998092,0
19,0.8469,9.974425799999153,0
20,0.8506,9.984390199999325,0
21,0.851,9.82508839998627,0
22,0.8529,9.851817999995546,0
23,0.8556,9.929107200005092,0
24,0.8585,9.826032499986468,0
25,0.8589,9.817144800006645,0
26,0.8592,9.948661000002176,0
27,0.8651,9.96475260000443,0
28,0.8648,9.869453299994348,0
29,0.8672,9.953014899976552,0
30,0.8647,10.002519300003769,0
31,0.8713,9.868698699981906,0
32,0.8717,9.935717099986505,0
33,0.8704,9.470390900009079,0
34,0.8717,8.635826599987922,0
35,0.8738,8.267358499986585,0
36,0.8737,8.452715599996736,0
37,0.8766,9.375307399983285,0
38,0.8765,8.29078589999699,0
39,0.8779,8.070476199995028,0
40,0.8785,9.03786680000485,0
41,0.8792,9.260120799997821,0
42,0.8814,9.295778300001984,0
43,0.8815,9.163742400007322,0
44,0.8823,9.262796199996956,0
45,0.882,9.157953700021608,0
46,0.8832,8.430498200003058,0
47,0.8849,7.070871900010388,0
48,0.8843,7.863247599976603,0
49,0.8859,9.399469199997839,0
