round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.5589,10.920772299985401,0,0,0,0,35,0,0.0,0.667
1,0.7019,9.526015699986601,0,0,0,0,31,0,0.0,0.517
2,0.7381,8.007448299991665,0,0,0,0,32,0,0.0,0.5
3,0.7677,8.634163400012767,0,0,0,0,21,0,0.0,0.4
4,0.7827,10.458410399995046,0,0,1,0,12,0,0.0,0.32
5,0.7912,9.773140000004787,0,0,1,0,10,0,0.0,0.271
6,0.7937,10.012281400006032,0,0,1,0,5,0,0.0,0.236
7,0.8001,9.938229599996703,0,0,1,0,9,0,0.0,0.21
8,0.8073,9.781825799989747,0,0,1,0,3,0,0.0,0.19
9,0.8039,10.113562800019281,0,0,1,0,5,0,0.0,0.173
10,0.8109,9.870506299979752,0,0,1,0,1,0,0.0,0.16
11,0.8152,10.008748199994443,0,0,1,0,3,0,0.0,0.149
12,0.8167,9.786727699975017,0,0,1,0,3,0,0.0,0.139
13,0.8266,10.116935900005046,0,0,1,0,1,0,0.0,0.131
14,0.8248,9.718849099997897,0,0,1,0,4,0,0.0,0.124
15,0.8332,9.85817659998429,0,0,1,0,2,0,0.0,0.118
16,0.8347,9.838476600009017,0,0,1,0,5,0,0.0,0.113
17,0.8372,9.907952300010948,0,0,1,0,3,0,0.0,0.108
18,0.8421,10.021412900008727,0,0,1,0,3,0,0.0,0.104
19,0.8461,9.81402910000179,0,0,1,0,3,0,0.0,0.1
20,0.8511,10.029164200008381,0,0,1,0,0,0,0.0,0.097
21,0.8507,9.643234599992866,0,0,1,0,2,0,0.0,0.093
22,0.8498,10.028750299999956,0,0,1,0,1,0,0.0,0.09
23,0.8602,9.7544607000018,0,0,1,0,2,0,0.0,0.088
24,0.857,10.024807699985104,0,0,1,0,1,0,0.0,0.085
25,0.8612,9.792231700004777,0,0,1,0,0,0,0.0,0.083
26,0.8582,9.862818800000241,0,0,1,0,0,0,0.0,0.081
27,0.8619,10.050771800015355,0,0,1,0,2,0,0.0,0.079
28,0.8633,9.877965799998492,0,0,1,0,3,0,0.0,0.077
29,0.8621,9.947570499993162,0,0,1,0,1,0,0.0,0.076
30,0.8663,9.869148500001756,0,0,1,0,3,0,0.0,0.074
31,0.8662,9.909062699996866,0,0,1,0,4,0,0.0,0.072
32,0.8679,9.853537099988898,0,0,1,0,0,0,0.0,0.071
33,0.8683,9.98431719999644,0,0,1,0,0,0,0.0,0.07
34,0.8679,9.892965200007893,0,0,1,0,1,0,0.0,0.069
35,0.8706,9.314945500023896,0,0,1,0,1,0,0.0,0.067
36,0.8688,8.643677299987758,0,0,1,0,1,0,0.0,0.066
37,0.869,8.43918320001103,0,0,1,0,1,0,0.0,0.065
38,0.8721,9.691998399997829,0,0,1,0,0,0,0.0,0.064
39,0.8705,10.20529529999476,0,0,1,0,0,0,0.0,0.063
40,0.8743,9.804434899997432,0,0,1,0,0,0,0.0,0.062
41,0.873,9.279787100007525,0,0,1,0,1,0,0.0,0.062
42,0.8754,10.732036600005813,0,0,1,0,3,0,0.0,0.061
43,0.8751,9.637638300016988,0,0,1,0,1,0,0.0,0.06
44,0.8739,10.2189500000095,0,0,1,0,1,0,0.0,0.059
45,0.8747,10.988409200013848,0,0,1,0,1,0,0.0,0.059
46,0.8761,11.025005000003148,0,0,1,0,0,0,0.0,0.058
47,0.8774,9.791413699975237,0,0,1,0,0,0,0.0,0.057
48,0.8775,10.910192999988794,0,0,1,0,1,0,0.0,0.057
49,0.8754,11.273855899984483,0,0,1,0,1,0,0.0,0.056
