round,acc,t_round_s,n_malicious
0,0.368,8.710311199974967,0
1,0.5655,8.348849400004838,0
2,0.6249,8.056343799980823,0
3,0.714,8.423237700015306,0
4,0.7532,9.156179300014628,0
5,0.7452,9.11213600001065,0
6,0.7712,9.176706700003706,0
7,0.7762,9.101340599998366,0
8,0.7882,9.078179099975387,0
9,0.7922,9.09152690001065,0
10,0.7989,8.42421659998945,0
11,0.7988,6.917996999982279,0
12,0.8135,7.822580499981996,0
13,0.811,7.668925100006163,0
14,0.8111,8.27252870000666,0
15,0.8187,9.78534520001267,0
16,0.8222,9.852789099997608,0
17,0.8288,9.793784500012407,0
18,0.8279,9.894865000009304,0
19,0.8399,9.811362799984636,0
20,0.8345,9.874177499994403,0
21,0.8394,9.774345899990294,0
22,0.843,9.904413299984299,0
23,0.8472,9.794378899998264,0
24,0.8449,9.900771800021175,0
25,0.852,9.885577000008198,0
26,0.8505,9.925980100000743,0
27,0.856,9.812630200001877,0
28,0.8555,9.868515699985437,0
29,0.8608,9.74171179998666,0
30,0.8585,9.823756300000241,0
31,0.8603,9.92469740001252,0
32,0.8605,9.922017999982927,0
33,0.8642,9.846791199990548,0
34,0.8642,9.80414120000205,0
35,0.8659,9.94230830000015,0
36,0.8638,9.789831900008721,0
37,0.8671,9.90097639997839,0
38,0.8689,9.779099200008204,0
39,0.8697,10.008424599975115,0
40,0.8707,9.79956129999482,0
41,0.8714,9.956868899986148,0
42,0.8713,9.85238539997954,0
43,0.874,9.920473400008632,0
44,0.8726,9.81164109997917,0
45,0.8739,8.797460100002354,0
46,0.8738,9.729452999978093,0
47,0.8753,9.844219599995995,0
48,0.8757,9.830872899998212,0
49,0.8765,9.832409199996619,0
