round,acc,t_round_s,n_malicious
0,0.444,7.293173100013519,0
1,0.5675,9.757134999992559,0
2,0.7185,9.92330390002462,0
3,0.7105,9.80863600000157,0
4,0.7526,9.888569700007793,0
5,0.7674,9.895645500015235,0
6,0.7686,9.879117799981032,0
7,0.7842,9.883066599984886,0
8,0.7907,9.874470099981409,0
9,0.8023,9.847427400003653,0
10,0.8042,9.911680399993202,0
11,0.8104,9.89590329999919,0
12,0.8159,9.949414900009288,0
13,0.8194,9.969302499986952,0
14,0.8241,9.974670000025071,0
15,0.8247,9.864360899984604,0
16,0.8284,9.920324399980018,0
17,0.8333,9.852785900002345,0
18,0.834,9.927278499992099,0
19,0.8386,9.92180329997791,0
20,0.8411,10.053264299989678,0
21,0.8442,10.063456200005021,0
22,0.846,9.855803399987053,0
23,0.8483,9.920490400021663,0
24,0.8508,9.882360899995547,0
25,0.8528,9.837887900008354,0
26,0.8534,9.842444900015835,0
27,0.854,9.974518000002718,0
28,0.8563,9.839680900011444,0
29,0.8576,9.843371099996148,0
30,0.8603,9.842492299998412,0
31,0.8606,9.88763059998746,0
32,0.8627,9.875316999998176,0
33,0.8633,9.929180899984203,0
34,0.8632,9.885637800005497,0
35,0.8652,9.87490979998256,0
36,0.8646,9.879783399985172,0
37,0.8659,9.866752799978713,0
38,0.8705,9.943607499997597,0
39,0.8688,9.898541100003058,0
40,0.8713,8.034734800021397,0
41,0.8688,5.877918600017438,0
42,0.8725,7.141723499982618,0
43,0.8725,9.472702999977628,0
44,0.8747,9.611835400020937,0
45,0.8741,9.664023199991789,0
46,0.8747,9.60041579999961,0
47,0.8749,9.676896200020565,0
48,0.878,9.732317299989518,0
49,0.8746,9.595463800011203,0
