round,acc,t_round_s,n_malicious
0,0.3525,10.373836799990386,0
1,0.6489,10.020341499999631,0
2,0.7278,10.014946999988751,0
3,0.7464,9.8540648999915,0
4,0.7599,10.00204669998493,0
5,0.7724,9.899499899998773,0
6,0.7817,9.969107499986421,0
7,0.7867,9.842500400001882,0
8,0.7991,9.931260799989104,0
9,0.798,9.95361719999346,0
10,0.8119,9.903761900000973,0
11,0.8161,9.892835500009824,0
12,0.8213,9.752413999987766,0
13,0.8204,9.96293959999457,0
14,0.8288,9.901030000008177,0
15,0.8314,9.902537899994059,0
16,0.8349,9.846208300004946,0
17,0.8343,9.98620280000614,0
18,0.8392,9.925760999991326,0
19,0.8446,9.981185000011465,0
20,0.8497,9.888196599989897,0
21,0.8478,9.97568410000531,0
22,0.8496,9.906101400003536,0
23,0.851,9.891735199984396,0
24,0.8585,9.885413600015454,0
25,0.8562,9.913496099994518,0
26,0.8563,9.89513089999673,0
27,0.8624,9.865618899988476,0
28,0.8617,9.927463400003035,0
29,0.865,9.87693220001529,0
30,0.8643,9.74032460001763,0
31,0.8673,7.172507100010989,0
32,0.8691,8.037571699998807,0
33,0.8676,9.225617100019008,0
34,0.8696,9.308882099983748,0
35,0.8706,9.379432499990799,0
36,0.8722,9.44113959997776,0
37,0.8747,9.362228100013454,0
38,0.8725,9.453936699981568,0
39,0.8758,9.285448000009637,0
40,0.8771,8.320944200007943,0
41,0.876,8.071348099998431,0
42,0.8794,9.088000599993393,0
43,0.8788,8.98799580000923,0
44,0.8796,7.11371059998055,0
45,0.8819,7.442001999996137,0
46,0.8821,9.267774600011762,0
47,0.8828,9.376055600005202,0
48,0.8826,9.410137800005032,0
49,0.8841,9.582265800010646,0
