round,acc,t_round_s,n_malicious
0,0.4503,12.282445799995912,0
1,0.5443,10.60904130002018,0
2,0.714,11.721712700003991,0
3,0.6982,11.651135899999645,0
4,0.7499,11.727444100019056,0
5,0.7594,11.6162905000092,0
6,0.7653,10.559379400016041,0
7,0.7813,8.935629100014921,0
8,0.7859,10.269002900022315,0
9,0.7946,11.24776350002503,0
10,0.7986,11.094655599998077,0
11,0.8055,11.227063300000736,0
12,0.8098,11.178167500009295,0
13,0.8156,11.267162600008305,0
14,0.8181,11.354797799984226,0
15,0.8219,11.279942900000606,0
16,0.8253,11.165254499996081,0
17,0.8284,11.222533599997405,0
18,0.8294,11.276606899977196,0
19,0.8357,11.302378099993803,0
20,0.836,11.245696099998895,0
21,0.8415,11.2221581999911,0
22,0.8433,11.354620500002056,0
23,0.8454,11.242549599992344,0
24,0.8491,11.298866900004214,0
25,0.8515,11.26653280001483,0
26,0.8518,11.373218399996404,0
27,0.8539,11.367116500012344,0
28,0.8548,11.33197480000672,0
29,0.8562,11.253135499981,0
30,0.8586,11.34716470001149,0
31,0.8593,11.28210849998868,0
32,0.862,11.283518099982757,0
33,0.8629,11.2829963999975,0
34,0.8623,11.375504600000568,0
35,0.8639,11.295727499993518,0
36,0.865,11.295702700008405,0
37,0.865,11.270746599999256,0
38,0.8671,11.390926199994283,0
39,0.8684,9.74918080001953,0
40,0.8709,10.539316500013229,0
41,0.8681,11.264271399995778,0
42,0.8713,11.392422800010536,0
43,0.8709,11.246001000021352,0
44,0.8737,11.237523299991153,0
45,0.8735,11.239185799990082,0
46,0.8744,11.31015910001588,0
47,0.8749,10.365800599975046,0
48,0.8766,9.863547199987806,0
49,0.8746,11.502969799999846,0
