round,acc,t_round_s,n_malicious
0,0.3595,29.928359799996542,3
1,0.5109,30.167421999998624,3
2,0.6606,29.750080900004832,3
3,0.6673,29.945534500002395,3
4,0.7349,29.307676000003994,3
5,0.7279,29.298733399999037,3
6,0.752,32.567795599999954,3
7,0.7663,30.864754399997764,3
8,0.7742,29.487209200000507,3
9,0.7796,29.766703600005712,3
10,0.7889,29.09489229999599,3
11,0.7932,28.428134599998884,3
12,0.7797,29.8627353999982,3
13,0.8002,28.676368100001127,3
14,0.8045,28.809730100001616,3
15,0.8078,28.73008490000211,3
16,0.8076,28.39847649999865,3
17,0.82,28.73926570000185,3
18,0.8185,28.63257429999794,3
19,0.8192,28.590749199996935,3
20,0.8269,28.494383400000515,3
21,0.8282,28.70127909999428,3
22,0.8337,28.365721200003463,3
23,0.8398,28.335936600000423,3
24,0.8344,28.530876000004355,3
25,0.8411,28.65936760000477,3
26,0.8425,28.324813600003836,3
27,0.8465,28.785394200000155,3
28,0.8415,28.818765399999393,3
29,0.8454,28.62966900000174,3
30,0.8447,28.490194599995448,3
31,0.8498,28.409509099998104,3
32,0.8512,28.44272649999766,3
33,0.8542,28.40877780000301,3
34,0.8538,28.750731500003894,3
35,0.8562,28.744529700001294,3
36,0.856,28.376878400005808,3
37,0.8577,28.280050100001972,3
38,0.8579,28.760758800002804,3
39,0.8599,28.372835499998473,3
40,0.86,28.613863800004765,3
41,0.8608,28.417291099998693,3
42,0.8635,28.44427710000309,3
43,0.8626,28.491334599995753,3
44,0.8664,28.39661750000232,3
45,0.8676,28.416938200003642,3
46,0.8671,28.466364599997178,3
47,0.8689,28.794349800002237,3
48,0.8683,29.192219900003693,3
49,0.8711,29.677752299998247,3
