round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1,28.814830199997232,9,1,0
1,0.2363,27.266765399999713,9,4,0
2,0.4002,25.140550600001006,9,6,0
3,0.6384,23.542098000001715,9,9,0
4,0.7132,21.467938599998888,9,9,0
5,0.7332,21.069664300001023,9,9,3
6,0.7477,18.669018700002198,9,9,3
7,0.7555,18.84090190000279,9,9,3
8,0.7578,19.315320900001097,9,9,3
9,0.7693,18.855209400000604,9,9,3
10,0.78,19.33727429999999,9,9,3
11,0.7924,18.90293389999715,9,9,3
12,0.7958,18.674029200003133,9,9,3
13,0.8064,18.94856930000242,9,9,3
14,0.8105,19.441394099998433,9,9,3
15,0.8144,18.665486600002623,9,9,4
16,0.8232,17.98622649999743,9,9,4
17,0.8207,18.05356699999902,9,9,4
18,0.8318,18.370863899999677,9,9,4
19,0.831,17.785186400000384,9,9,4
20,0.8351,18.0538575999999,9,9,4
21,0.8392,18.3354889000002,9,9,4
22,0.8385,18.309931799998594,9,9,4
23,0.8434,17.709388999999646,9,9,4
24,0.8484,18.41815029999998,9,9,4
25,0.8515,18.113014500002464,9,9,4
26,0.8482,18.070493299997906,9,9,4
27,0.8472,17.99295379999967,9,9,4
28,0.8532,18.275842600000033,9,9,4
29,0.8545,18.007321900000534,9,9,4
