round,acc,t_round_s,n_malicious
0,0.1,8.98189299999649,3
1,0.1,9.000995300004433,3
2,0.1,9.015869399998337,3
3,0.1,8.967186900001252,3
4,0.1,9.050814200003515,3
5,0.1004,8.891915499996685,3
6,0.1512,8.900576000000001,3
7,0.2241,8.694427200003702,3
8,0.3335,8.800046700001985,3
9,0.4067,8.623243000001821,3
10,0.4786,8.585619799996493,3
11,0.5383,8.600497799998266,3
12,0.5947,8.656611200000043,3
13,0.6388,8.517792800004827,3
14,0.668,8.563071199998376,3
15,0.6792,8.724483199999668,3
16,0.6949,8.476010000005772,3
17,0.7032,8.464678200005437,3
18,0.7122,8.516435799996543,3
19,0.7261,8.64905450000515,3
20,0.7307,8.897998699998425,3
21,0.7346,8.677934300001652,3
22,0.7394,8.6774185999966,3
23,0.7416,8.562638499999593,3
24,0.745,8.53221090000443,3
25,0.7464,8.472700199999963,3
26,0.7498,8.565286599994579,3
27,0.7544,8.663860700005898,3
28,0.758,8.998068900000362,3
29,0.756,8.821150099996885,3
30,0.7622,8.916001499994309,3
31,0.7633,9.117406799996388,3
32,0.7664,8.922979499999201,3
33,0.7677,8.491935700003523,3
34,0.773,8.544780100004573,3
35,0.7726,8.635622200003127,3
36,0.7764,8.819278599999961,3
37,0.7748,8.579340299998876,3
38,0.7719,8.757255199998326,3
39,0.7761,8.64018020000367,3
40,0.7828,8.576355500001227,3
41,0.7816,8.688804099998379,3
42,0.7759,8.683270199995604,3
43,0.7859,8.652808600003482,3
44,0.7853,8.554526899999473,3
45,0.7861,8.5860004999995,3
46,0.7891,8.595616799997515,3
47,0.7918,8.554215000003751,3
48,0.7916,8.575557500000286,3
49,0.7903,8.449974800001655,3
