round,acc,t_round_s,n_malicious
0,0.1738,23.900401499995496,6
1,0.3921,24.354440199997043,6
2,0.4743,24.058369499995024,6
3,0.5318,24.44023799999559,6
4,0.5573,24.204471599994577,6
5,0.5798,23.954731799996807,6
6,0.6051,24.186313600002904,6
7,0.6451,24.099574799998663,6
8,0.6496,24.084926600000472,6
9,0.6498,24.435088199999882,6
10,0.6764,24.0856322000036,6
11,0.6842,24.035427700000582,6
12,0.6863,24.455822000003536,6
13,0.7068,24.22890709999774,6
14,0.7011,24.170842700012145,6
15,0.7196,23.772490400006063,6
16,0.7108,24.27797219999775,6
17,0.7145,24.20212580000225,6
18,0.7094,24.32635050000681,6
19,0.7181,24.309966200002236,6
20,0.7093,24.252920099999756,6
21,0.7243,24.505384599993704,6
22,0.7243,24.47994479999761,6
23,0.737,24.29042499999923,6
24,0.759,24.638128899998264,6
25,0.7364,24.33437650000269,6
26,0.7466,24.293565600004513,6
27,0.7512,24.322635600008653,6
28,0.7635,24.014929299999494,6
29,0.759,24.420986500001163,6
