round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.4028,29.047527799999443,3,0,0,3,9,3,0.0,0.0
1,0.6608,29.226180499999828,3,0,0,2,6,2,0.0,0.0
2,0.6691,28.308974699999453,3,0,0,3,4,3,0.0,0.0
3,0.7174,29.06538979999823,3,0,0,3,5,3,0.25,0.046
4,0.7478,28.39459899999929,3,0,0,3,5,3,0.4,0.052
5,0.7702,28.342721199998778,3,3,1,3,4,3,0.5,0.049
6,0.7737,25.599363600000288,3,3,1,0,0,0,0.5,0.045
7,0.7878,25.87030479999885,3,3,1,0,1,0,0.5,0.042
8,0.7981,25.72424560000036,3,3,1,0,0,0,0.5,0.039
9,0.7998,25.648818600000595,3,3,1,0,0,0,0.5,0.037
10,0.8039,25.879331600001024,3,3,1,0,0,0,0.5,0.035
11,0.8033,25.530697000000146,3,3,1,0,0,0,0.5,0.034
12,0.803,25.688164199998937,3,3,1,0,3,0,0.5,0.033
13,0.8111,25.199547100000927,3,3,1,0,1,0,0.5,0.032
14,0.8247,25.359358100000463,3,3,1,0,0,0,0.5,0.031
15,0.8202,25.657533499999772,3,3,1,0,1,0,0.5,0.03
16,0.8224,25.699503800000457,3,3,1,0,0,0,0.5,0.029
17,0.8262,25.809783000000607,3,3,1,0,1,0,0.5,0.029
18,0.8269,25.412272599998687,3,3,1,0,2,0,0.5,0.028
19,0.8362,25.596995199999583,3,3,1,0,0,0,0.5,0.028
20,0.8402,25.253783599999224,3,3,1,0,0,0,0.5,0.027
21,0.8414,25.306861900000513,3,3,1,0,0,0,0.5,0.027
22,0.8403,25.43283540000084,3,3,1,0,0,0,0.5,0.027
23,0.8524,25.02362379999977,3,3,1,0,0,0,0.5,0.026
24,0.8515,26.03042060000007,3,3,1,0,0,0,0.5,0.026
25,0.8533,25.24269749999985,3,3,1,0,0,0,0.5,0.026
26,0.853,25.262152200000855,3,3,1,0,0,0,0.5,0.025
27,0.8525,25.293901499999265,3,3,1,0,0,0,0.5,0.025
28,0.8617,25.11037750000105,3,3,1,0,0,0,0.5,0.025
29,0.8567,25.63317839999945,3,3,1,0,0,0,0.5,0.025
30,0.8618,25.8543140999991,3,3,1,0,0,0,0.5,0.024
31,0.864,25.297003400000904,3,3,1,0,0,0,0.5,0.024
32,0.8642,25.5228361999998,3,3,1,0,0,0,0.5,0.024
33,0.865,25.48187449999932,3,3,1,0,0,0,0.5,0.024
34,0.8698,25.587596100000155,3,3,1,0,0,0,0.5,0.024
35,0.8676,25.517005899999276,3,3,1,0,0,0,0.5,0.024
36,0.8692,25.577787400001398,3,3,1,0,0,0,0.5,0.024
37,0.8715,25.523658500000238,3,3,1,0,0,0,0.5,0.023
38,0.8687,25.35565189999943,3,3,1,0,0,0,0.5,0.023
39,0.8741,25.453906200000347,3,3,1,0,0,0,0.5,0.023
40,0.8708,25.433011999999508,3,3,1,0,0,0,0.5,0.023
41,0.8748,25.478861799998413,3,3,1,0,0,0,0.5,0.023
42,0.8727,25.469667699999263,3,3,1,0,0,0,0.5,0.023
43,0.8764,25.168156600000657,3,3,1,0,0,0,0.5,0.023
44,0.8735,25.38604850000047,3,3,1,0,0,0,0.5,0.023
45,0.876,25.503790000000663,3,3,1,0,0,0,0.5,0.023
46,0.8768,25.549653000000035,3,3,1,0,0,0,0.5,0.022
47,0.8763,26.514092399998844,3,3,1,0,0,0,0.5,0.022
48,0.8768,25.865482899998824,3,3,1,0,0,0,0.5,0.022
49,0.8772,25.413779299999078,3,3,1,0,0,0,0.5,0.022
