round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.3465,9.491429899997456,3,0,0,3,2,2,0.0,0.0
1,0.548,9.174148300000525,3,0,0,2,2,2,0.0,0.0
2,0.6183,9.2294092000011,3,0,0,3,2,2,0.0,0.0
3,0.7008,9.176929299999756,3,0,0,2,2,2,0.167,0.0
4,0.6754,9.290380700000242,3,0,0,3,2,2,0.267,0.0
5,0.7335,9.237223599997378,3,2,0,2,2,2,0.333,0.0
6,0.7266,8.71817199999714,3,2,0,1,0,0,0.333,0.0
7,0.7781,8.787814300001628,3,2,0,1,1,1,0.333,0.0
8,0.7417,8.808438500000193,3,2,0,1,0,0,0.333,0.0
9,0.7913,8.85498329999973,3,2,0,1,1,1,0.333,0.0
10,0.7647,8.808460399999603,3,2,0,1,0,0,0.333,0.0
11,0.8031,8.879159100000834,3,2,0,1,1,1,0.333,0.0
12,0.7809,8.630933200001891,3,2,0,1,0,0,0.333,0.0
13,0.8162,8.912439199997607,3,2,0,1,1,1,0.333,0.0
14,0.7899,8.716542199999822,3,2,0,1,0,0,0.333,0.0
15,0.8207,8.842738199997257,3,2,0,1,1,1,0.333,0.0
16,0.7946,8.727612099999533,3,2,0,1,0,0,0.333,0.0
17,0.8322,8.793539899997995,3,2,0,1,1,1,0.333,0.0
18,0.8035,8.69979240000248,3,2,0,1,0,0,0.333,0.0
19,0.8372,8.908725799999957,3,2,0,1,1,1,0.333,0.0
20,0.8054,8.629403200000525,3,2,0,1,0,0,0.333,0.0
21,0.8397,9.112160099997709,3,2,0,1,1,1,0.333,0.0
22,0.8269,8.667306100000133,3,2,0,1,0,0,0.333,0.0
23,0.8453,9.11175170000206,3,2,0,1,1,1,0.333,0.0
24,0.8243,9.026137400000152,3,2,0,1,0,0,0.333,0.0
25,0.8445,9.101108700000623,3,2,0,1,1,1,0.333,0.0
26,0.8066,8.678203200001008,3,2,0,1,1,0,0.333,0.0
27,0.8531,9.044712199996866,3,2,0,1,1,1,0.333,0.0
28,0.836,8.533544499998243,3,2,0,1,0,0,0.333,0.0
29,0.8519,9.038559799999348,3,2,0,1,1,1,0.333,0.0
30,0.8431,8.418414100000518,3,2,0,1,0,0,0.333,0.0
31,0.8594,9.097723500002758,3,2,0,1,1,1,0.333,0.0
32,0.8445,8.298989199996868,3,2,0,1,0,0,0.333,0.0
33,0.8585,8.964439800001855,3,2,0,1,1,1,0.333,0.0
34,0.8465,8.609405800001696,3,2,0,1,0,0,0.333,0.0
35,0.8633,9.231630000002042,3,2,0,1,1,1,0.333,0.0
36,0.8471,8.444608399997378,3,2,0,1,0,0,0.333,0.0
37,0.8551,9.326867200001288,3,2,0,1,1,1,0.333,0.0
38,0.8481,8.537435599999299,3,2,0,1,1,0,0.333,0.0
39,0.8668,9.063995599997725,3,2,0,1,1,1,0.333,0.0
40,0.8406,8.584603800001787,3,2,0,1,1,0,0.333,0.0
41,0.8693,9.104821600001742,3,2,0,1,1,1,0.333,0.0
42,0.8466,8.629196400001092,3,2,0,1,1,0,0.333,0.0
43,0.8691,9.011662900000374,3,2,0,1,1,1,0.333,0.0
44,0.8328,8.665464100002282,3,2,0,1,2,0,0.333,0.0
45,0.8706,8.871344499999395,3,2,0,1,1,1,0.333,0.0
46,0.861,8.683858899999905,3,2,0,1,0,0,0.333,0.0
47,0.872,8.965143699999317,3,2,0,1,1,1,0.333,0.0
48,0.853,8.610097300002963,3,2,0,1,1,0,0.333,0.0
49,0.8737,9.045404799999233,3,2,0,1,1,1,0.333,0.0
