round,acc,t_round_s,n_malicious
0,0.3523,11.432603100000051,3
1,0.6285,10.894946000000346,3
2,0.7367,11.038067299999966,3
3,0.7521,11.10362140000143,3
4,0.7765,10.994526100001167,3
5,0.7808,11.022176799999215,3
6,0.7909,11.094261000000188,3
7,0.8074,11.066574499998751,3
8,0.8077,11.020790900000065,3
9,0.8178,11.032156799999939,3
10,0.8308,11.123299100001532,3
11,0.8311,11.11813809999876,3
12,0.8415,10.995963900000788,3
13,0.8393,10.965940899999623,3
14,0.848,11.080943799999659,3
15,0.8448,11.061226400001033,3
16,0.8341,11.006348200000502,3
17,0.843,11.05555269999968,3
18,0.8427,11.007051200000205,3
19,0.8489,11.068684699999721,3
20,0.8497,11.07810520000021,3
21,0.8623,11.10306060000039,3
22,0.8631,11.43473830000039,3
23,0.8651,12.270124999999098,3
24,0.8655,12.219063800001095,3
25,0.8674,11.436191599999802,3
26,0.8687,11.577023600000757,3
27,0.8677,11.549724900000001,3
28,0.8694,11.61111979999987,3
29,0.8719,11.651913200001218,3
30,0.8718,11.723969700000453,3
31,0.8712,12.242291100001239,3
32,0.8731,12.17459769999914,3
33,0.8735,12.331289499999912,3
34,0.8739,12.219013800000539,3
35,0.8776,12.257511600000726,3
36,0.8752,12.111838900000294,3
37,0.8773,12.200232999999571,3
38,0.8769,12.321369499999491,3
39,0.8775,12.244756199999756,3
40,0.8733,12.216287000001103,3
41,0.8754,12.164148399999249,3
42,0.8762,12.22906789999979,3
43,0.8813,12.259087399999771,3
44,0.8766,12.249229099999866,3
45,0.879,12.358045499999207,3
46,0.8757,12.225514800000383,3
47,0.8795,12.237716300000102,3
48,0.8776,12.092667200000506,3
49,0.8802,12.264479100000244,3
