round,acc,t_round_s,n_malicious
0,0.3094,8.788967899999989,3
1,0.4429,8.620996400000877,3
2,0.5091,8.50893289999658,3
3,0.5418,8.59115059999749,3
4,0.6312,8.47387339999841,3
5,0.5917,8.543172999998205,3
6,0.6,8.484171399999468,3
7,0.5613,8.648043100001814,3
8,0.693,8.567486899999494,3
9,0.7239,8.616750900000625,3
10,0.7076,8.503178600003594,3
11,0.7089,8.549660000004224,3
12,0.6973,8.506962599996768,3
13,0.6455,8.512503199999628,3
14,0.5874,8.598609600005148,3
15,0.5877,8.628929999998945,3
16,0.5599,8.511582099999941,3
17,0.6806,8.622131099997205,3
18,0.6671,8.544447600004787,3
19,0.6222,8.548359200001869,3
20,0.5849,8.571430500000133,3
21,0.5593,8.579604200000176,3
22,0.647,8.602358500000264,3
23,0.725,8.523697699994955,3
24,0.7436,8.596764099995198,3
25,0.7563,8.555296499995166,3
26,0.7742,8.527525900004548,3
27,0.7773,8.5024568000008,3
28,0.7744,8.526602800004184,3
29,0.7818,8.676807999996527,3
30,0.7812,8.365308500004176,3
31,0.7874,8.465009699997609,3
32,0.7868,8.528843899999629,3
33,0.7844,8.66187259999424,3
34,0.7918,8.537215100004687,3
35,0.8003,8.453765300000669,3
36,0.7962,8.747128999995766,3
37,0.7971,8.439288100002159,3
38,0.7998,8.48566060000303,3
39,0.7952,8.524101499999233,3
40,0.7949,8.763421900002868,3
41,0.7954,8.45080009999947,3
42,0.7995,8.525434099996346,3
43,0.7923,8.779464300001564,3
44,0.7991,8.501951599995664,3
45,0.7963,8.506810300001234,3
46,0.7994,8.5480394000042,3
47,0.785,8.65054070000042,3
48,0.7979,8.567152800002077,3
49,0.7906,8.58698810000351,3
