round,acc,t_round_s,n_malicious
0,0.1,9.161905800006934,6
1,0.3288,9.270808299988857,6
2,0.3937,9.081246800007648,6
3,0.4633,9.151633100002073,6
4,0.4565,9.261480699991807,6
5,0.4858,9.22597470000619,6
6,0.4906,9.115360599986161,6
7,0.5101,9.10457260000112,6
8,0.4529,9.260580400004983,6
9,0.3823,9.110105400002794,6
10,0.2924,9.185707900003763,6
11,0.1713,9.167625800007954,6
12,0.1,9.072871299998951,6
13,0.1,9.139036200009286,6
14,0.1,9.212135900001158,6
15,0.1,10.118883800008916,6
16,0.1,10.162069600002724,6
17,0.1,9.566576900004293,6
18,0.1,9.179964399998426,6
19,0.1,9.116070199990645,6
20,0.1,9.16653220000444,6
21,0.1,9.194349400000647,6
22,0.1,9.146029199997429,6
23,0.1,9.292001699999673,6
24,0.1,9.230255300004501,6
25,0.1,9.048411199997645,6
26,0.1,9.122704199995496,6
27,0.1,9.159728300001007,6
28,0.1,9.320665499995812,6
29,0.1,9.2744151000079,6
30,0.1,9.483539099994232,6
31,0.1,9.527129800000694,6
32,0.1,9.130715999999666,6
33,0.1,9.178101899989997,6
34,0.1,9.174242000008235,6
35,0.1,9.036747000005562,6
36,0.1,9.20254019999993,6
37,0.1,9.219341099989833,6
38,0.1,9.208517899998697,6
39,0.1,9.114005600000382,6
40,0.1,9.056310900006793,6
41,0.1,9.127569699994638,6
42,0.1,9.01238800000283,6
43,0.1,9.13297100001364,6
44,0.1,9.332927900002687,6
45,0.1,9.129511699997238,6
46,0.1,9.106577100013965,6
47,0.1,9.140384400001494,6
48,0.1,8.99414500000421,6
49,0.1,9.059996099997079,6
