round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.3334,9,9,0
1,0.6084,9,9,0
2,0.6918,9,9,0
3,0.7023,9,9,0
4,0.7339,9,9,0
5,0.7425,9,9,0
6,0.7512,9,9,0
7,0.7608,9,9,0
8,0.7687,9,9,0
9,0.7795,9,9,0
10,0.7785,9,9,0
11,0.7822,9,9,0
12,0.7918,9,9,0
13,0.792,9,9,0
14,0.8016,9,9,0
15,0.8008,9,9,0
16,0.8103,9,9,0
17,0.8072,9,9,0
18,0.8153,9,9,0
19,0.8168,9,9,0
20,0.8198,9,9,0
21,0.821,9,9,0
22,0.825,9,9,0
23,0.8297,9,9,0
24,0.8279,9,9,0
25,0.8326,9,9,0
26,0.8325,9,9,0
27,0.8337,9,9,0
28,0.8417,9,9,0
29,0.8373,9,9,0
30,0.8424,9,9,0
31,0.8408,9,9,0
32,0.8443,9,9,0
33,0.8464,9,9,0
34,0.8491,9,9,0
35,0.8502,9,9,0
36,0.8473,9,9,0
37,0.8525,9,9,0
38,0.8531,9,9,0
39,0.8531,9,9,0
40,0.8548,9,9,0
41,0.8569,9,9,0
42,0.8574,9,9,0
43,0.8595,9,9,0
44,0.8564,9,9,0
45,0.8642,9,9,0
46,0.8604,9,9,0
47,0.8639,9,9,0
48,0.8641,9,9,0
49,0.8645,9,9,0
